Max Rank,Sum Ranks,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25,Top 5 Avg,Top 5 Avg2,Top 5 Avg3,Top 5 Avg4,Top 5 Avg5,Top 5 Avg6,Top 5 Avg7,Top 5 Avg8,Top 5 Avg9,Top 5 Avg10,Top 5 Avg11,Top 5 Avg12,Top 5 Avg13,Top 5 Avg14,Top 5 Avg15,Top 5 Avg16,Top 5 Avg17,Top 5 Avg18,Top 5 Avg19,Top 5 Avg20,Top 5 Avg21,Top 5 Avg22,Top 5 Avg23,Top 5 Avg24,Top 5 Avg25
3771478.2457175422,1063607306.2226179,1.7126617837265843e+17,2.054124173690961e+19,39494.424286501795,4260331.007113632,37246.560842199055,10358574.002388466,1691399424141312.5,1.9958702297415622e+17,390.6153325411139,41734.16288513689,1790981750325809.5,7.157253177828062e+16,14224048157920.67,505745035425506.9,3032976.80563538,758689988.0969014,35469.391031400235,3068540.125979907,1.3773017176591392e+17,1.4705553923426034e+19,29953.229944346134,7388906.158549298,17687470637414.99,699721105908845.6,350.8061763922575,30063.57100799231,1360202787411182.8,1.4288351150557946e+17,1440285679553474.2,5.17241607299028e+16,4689797.868381939,1618547369.2685332,456514771.6750356,385601001889.40717,9.243661774796533e-06,0.0007993000206382399,381888900.2445917,109220939704.19662,5.4223238385253665e+50,2.134450327776564e+51,1089514753984251.4,4868329948007458.0,4.910034547497571e-15,4.9202221383597654e-15,6.275581802392795e-27,7.646306235697034e-27,0.009857540626318889,22.944229354565135,2939596.13077267,1.0938409736406256e+17,31103.461435577665,29026.27932509612,1079136710331092.0,307.25262986348827,1054027112205200.0,8853162663936.379,2629667.963981095,26471.326000297635,9.393534264372254e+16,25948.57899061663,10407280328465.215,261.4205355068437,926347623151036.6,896519191913322.2,3580418.308767854,438950748.43241465,3.7218310775547516e-06,297703922.9938556,3.0498290827455577e+50,532296419304562.3,9.840279992436426e-16,1.5282940385171902e-27,0.009839987620890165
6082031.636844216,1870557730.143603,9.596740538277112e+17,3.8631701447121584e+19,137371.58856522763,9076902.303082095,60847.56319128398,18539475.92682683,9094895375116532.0,3.820408831891816e+17,1391.2231301968702,90332.42286060262,5733942752367255.0,1.624264103989851e+17,36991108831573.92,1143293176504744.2,4301403.858204828,1306970066.5147405,112278.1535189515,6400978.87380805,9.496713592871172e+17,2.7256992042640957e+19,43175.3831388267,12954238.063844375,57365114947166.45,1614944512500098.8,1137.0907610724084,63707.398545949705,9000099168057375.0,2.694670207985676e+17,3697454464829039.0,1.1498064412467506e+17,9431900.123579677,2976170297.878748,6920278006.060647,637571157228.9067,5.3206124194868675e-06,0.0014730264773289154,607930817.4640701,188737515117.42188,8.798638455306403e+55,8.798974915412045e+55,1590442218238905.8,6131178352878234.0,1.917939610071249e-16,4.0142742844020137e-16,3.536582979545527e-26,7.301942422851917e-26,0.00996512898879556,38.081178512948746,4864543.674793403,4.227150327991984e+17,98883.09044554534,48727.9131878818,4125255993630940.0,994.5174303594749,3343700643684037.5,24567267361232.47,3694288.781854904,76610.36263967608,3.648071818062586e+17,37000.514722690496,33498356671791.387,771.0301437404091,3547047877685048.0,2452376925638077.0,6517108.505294859,2121744169.5203698,4.581970738489101e-06,485634885.77713996,1.759780504188327e+55,727778482997364.1,8.002742766391431e-17,1.4599233801307638e-26,0.00995118054050165
5703952.979097076,3068121255.5282183,9.776394428681843e+18,9.936872673115637e+19,100850.88586606507,10302100.226450434,58052.0183281343,30784779.319585897,9.370543253352242e+16,9.817276053637537e+17,1029.068794879891,104003.53241391573,4228683823842281.0,1.6137244092986157e+17,32535079587750.402,1057442404800125.4,4312024.390934352,2065046529.310909,75054.26111419561,6853502.669281673,5.739361970357953e+18,5.96752573713949e+19,43885.6561215041,20718878.79811908,43037456961020.86,1624759078570455.0,765.8435260346562,69180.25937919044,5.582449787492753e+16,5.910253028086423e+17,3196763342331039.5,1.0501845064946565e+17,7826947.580876719,5026340951.243769,27553600302.3284,1719111249697.3357,7.5537403647664e-06,0.003943223231375603,560447001.2368652,305790793267.05963,1.600588642101419e+52,1.8272089711793206e+52,5794058726459318.0,8300305535824254.0,7.829351349044269e-17,1.39298881102526e-16,3.6780520540302544e-23,3.8955859965456865e-23,0.010186045275127288,137.18409051465386,4271466.437502416,7.293258896543983e+18,87118.96539625648,43358.71013427498,7.048194649149935e+16,891.3977506591734,2695004289833250.0,19257225925233.457,3350872.6442997837,58493.89209646175,3.773404923436051e+18,34081.170516317994,27287549760337.164,596.9517340119024,3.654541916226461e+16,1897015623992092.5,6748086.857765657,23949822303.006187,5.863109074626689e-06,420828954.3442635,3.4818075236950277e+51,1288369836716894.2,2.33635207880821e-17,7.791007088605996e-24,0.010148568848863265
6920275.741399259,1498554643.368641,6.000167847960243e+17,3.3676336130855903e+19,88942.14439157443,6213671.289875977,69614.04294847009,14916368.44561303,6035828020076507.0,3.3472516467659955e+17,894.7074496705188,62084.19137858209,7711655070539954.0,1.242974395105582e+17,47890216336999.055,785684666885199.5,4272176.088249923,989197345.0270824,54907.71129742961,3907217.374597869,3.808937422062141e+17,2.280344751020136e+19,42975.664670657025,9843635.183860831,77574869462615.97,1241481800787176.0,552.3403857443104,39020.96594397685,3747201983432351.0,2.2655471853973574e+17,4760727697034016.0,7.870777839039867e+16,11209794.574880706,2549072399.4802756,2327306519.3335533,571630600331.8276,4.731933186748618e-06,0.0010796555307887442,687939017.8853498,150554499790.15158,3.1048454611837516e+54,3.1188133991105535e+54,903176021368773.2,3482352105641766.5,3.9899976554674335e-19,8.420791595845017e-19,4.388320499225663e-24,4.416928256703044e-24,0.010056363403130805,32.616912260803296,4562301.705432627,4.003828175382222e+17,58862.403528268725,45895.253333835964,3987082743494099.0,592.1439954596156,4025388871108945.5,23514053100033.746,3155950.6364064896,36032.90158987648,3.0575630419006e+17,31625.907290184135,40492632040209.6,362.50890910264184,3038393757680414.0,2337499062883848.5,8204227.297139404,1774624325.6775384,3.1094085469814945e-06,453524000.36171466,6.233738193944361e+53,377104356439615.1,1.541691428315062e-19,8.833855455539388e-25,0.009986452319534392
6332840.239751102,1686544811.763701,9.811865683855126e+17,3.086602196482924e+19,212749.18586523217,10391890.919013556,62958.381217317154,16624989.30817762,9628000790880500.0,3.037744362032959e+17,2132.340063986086,102983.30385298163,4668613341988878.0,1.5546981150201542e+17,40104865502210.79,1081483971008188.5,6005934.006584873,1166725029.747706,141493.6361223255,7084748.432574694,7.786083537592378e+17,2.173926231906367e+19,59708.41967228921,11501336.773072384,46792523467934.61,1537386432672387.2,1418.1607693381536,70188.28876782811,7640179846851225.0,2.139746979140263e+17,4034057120775334.5,1.0937275641240176e+17,9919529.169329513,2760311083.7217565,1813643765.7173245,463177845477.1794,2.3612652082175756e-05,0.001926873042785849,637005982.7900987,171101300173.07602,1.6837715068060347e+51,3.644141715558403e+51,1076807792258945.9,4325241466946404.5,4.1746985628284545e-13,4.269726488884849e-13,4.213491263337556e-25,4.308115506553413e-25,0.009941463772534414,32.81480861525597,5031646.9186482895,4.4244045166158515e+17,107655.76116561652,50096.75442715597,4366790997417913.0,1076.5970898492278,3798852410590551.0,25955806296481.44,4180327.60999955,85634.73456059073,3.4361823144932416e+17,41659.50163418006,37771245096805.484,856.0958431836564,3385840595742131.0,2610975562076360.5,7647235.164032827,966193802.1583831,1.1716228401120688e-05,506466967.89920294,6.917963515360718e+50,507299263966369.7,8.50551619091834e-14,8.615475296439445e-26,0.009903601514796042
8349193.7960248245,1489264220.9953115,6.389171440899119e+17,2.9579776142569742e+19,174155.4539980684,6565903.983860439,82952.31310990012,14584697.117456399,6347876966643590.0,2.892685978075446e+17,1746.347055182801,64747.94041030667,9989590040262436.0,1.1905649274044437e+17,69709037043579.414,843777784818558.8,5864108.544091657,1105291866.45284,91686.44299022312,4750328.526750132,4.4874745695903514e+17,2.196475419315527e+19,58262.07654822118,10822876.779786265,99250253509976.78,1172692100018429.2,910.9385543882255,46826.08764243165,4458471137016907.5,2.1475399023371776e+17,7016251118157864.0,8.570133556275152e+16,11887405.650738556,2096645517.6338553,1405336507.8266187,577890906950.2715,4.196586579961433e-06,0.0013185418263570396,840350732.0070119,152084070421.2161,1.4652541146642133e+52,1.6476405621499793e+52,242568868127380.25,1941593544788420.0,3.0338990846771154e-17,6.896548337353878e-17,3.940043550848484e-28,1.1038047748058382e-27,0.009926715144879425,41.19813836145114,4725586.56078784,2.7623093440592723e+17,125330.34410144063,47036.07816605336,2725105802642050.0,1252.9712311858716,4075748430755896.0,25789027402102.008,3449749.9982040673,72026.92916609318,2.0611975613576256e+17,34256.77367616474,40552490649050.55,719.5753288888995,2028479473756463.5,2593280216815929.5,7766296.239221078,1039999819.7713791,3.7578165812128667e-06,475285999.7446686,3.230300464639407e+51,161575929332427.7,1.1128980104669239e-17,2.200147342926398e-28,0.009866419004394004
2459823.663193144,583730283.2542344,1.2900404774602962e+17,9.748844116599837e+18,67208.27493898134,3184588.3524989146,25001.734492314274,5880481.858660059,1301647817990971.2,9.804625255110278e+16,692.8044859705535,32260.130000997204,822849033099370.1,3.792613292751746e+16,6050732454004.935,257076931568846.5,2117405.5400168314,394658048.8337507,63159.37939458378,2187258.6865610452,7.25790711383514e+16,6.461824878704804e+18,21521.38460825085,3976341.3221230228,8356963599278.555,382555467980348.25,651.0671701574105,22160.202948981154,732321126582279.4,6.499852774287497e+16,595308092508039.1,2.548510720128213e+16,3526712.5522707687,969765917.5129633,668812585.4107198,176691796126.05325,8.516832322307131e-06,0.0007077314948218507,242012507.40683526,57946073677.08525,6.895703907764119e+49,1.0545582414305863e+50,154737384273861.1,727796425883256.9,3.848402320743104e-15,6.173695391278479e-15,1.621557641499238e-28,2.3209202535456553e-28,0.010123174935241674,12.902241114229724,1887662.1992789984,7.391654908488149e+16,41990.03421267741,19139.141441780546,746341171413357.6,431.40855989870386,555389916873117.5,3790184351126.053,1504490.749905271,34334.89070840581,5.235242369472535e+16,15259.669881122676,5631134004226.846,352.7844385789332,528356001706008.4,373770235938502.4,3047936.875449564,443114209.6355675,6.855816359044557e-06,186248573.60852382,1.9990662629394522e+49,85562124014976.58,1.20912762854536e-15,4.5846366607766524e-29,0.010104330409099216
6208832.427569021,1769117903.5523996,6.237474072826664e+17,3.4680171378361446e+19,119479.14087637368,7604577.730681178,61743.81157453214,17331236.740486972,6112009522825551.0,3.392367809648361e+17,1188.1618077823039,74826.45264896122,4412981340518948.0,1.3650075590707064e+17,38549600113632.63,941022702948261.1,5453988.623315335,1246906869.5843964,104953.36807122879,5265768.719680738,5.87275243780081e+17,2.4602289885112484e+19,54237.25794118004,12213590.92531681,43884948023570.93,1341915459130524.0,1043.710078811018,51805.05851261431,5754624132452567.0,2.4063753504568685e+17,3876469578921591.5,9.57298171662015e+16,7068148.244540953,2767202743.8799114,1422355672.8206291,596024631736.3097,8.553550777736635e-06,0.0013326503799517369,624347592.585836,180597412412.03278,1.8034476097952994e+50,7.77290392467055e+50,273576414734564.25,1673947210104079.8,7.473308444323335e-16,1.0080335577941432e-15,6.470590342158487e-30,8.223936149992693e-30,0.009831668949369606,36.31583509841359,4676562.711913455,3.528926117475216e+17,68004.70847237688,46240.452062638906,3477323810827279.5,675.8486136110615,2842399298878425.5,22697552993075.8,3955791.7913967073,51897.301631446666,2.982406717349049e+17,39144.52831982402,28147278869429.88,515.362084914402,2937407813697549.5,2293935464217883.0,6144500.363549049,772711192.6625941,5.777622492986421e-06,472978530.2315508,1.0088970145785386e+50,160849598849164.28,2.0137659940373643e-16,1.61602339454055e-30,0.009808828078387441
183269.73284471355,2656532.4444840755,6137305409996592.0,4.603405023013259e+16,1372.9043520937105,10593.389466213135,1831.9871960487942,26444.419163333187,60688952958662.11,457017032506419.44,13.786543308204104,105.86364566693695,14798896703553.31,119697123201576.94,33587794976.972668,264097459170.6825,47952.83356045423,599944.7249188708,471.47427559886364,2727.1305681508934,1116734589544779.4,9599207725312890.0,481.53668944534047,5976.635957646672,147931624364.45602,1191348031145.3235,4.734488975386553,27.28803116094241,11042867911022.14,95329601803399.08,3360081459930.0503,26518339299369.152,807179.7894189116,12307153.279161777,91669347.87248054,1028863887.0886458,1.4175996388264923e-06,6.128007736072344e-06,18334077.361137886,266874514.9362934,1.3592667121539611e-86,1.359266724539956e-86,6.368409082255258e-144,6.368409082255258e-144,2.362528916356888e-22,2.634877909529174e-22,0.0,0.0,0.00392317592372066,0.07522609464608052,147232.00917726246,3700566056840598.5,916.9727843098856,1467.5004276493432,36712240989844.47,9.207145414654246,9595627045232.312,22116024457.151848,37642.06842391773,284.61231828192274,798464523219587.5,376.19009768937207,95607994048.3328,2.859574742786042,7921827753275.769,2218064777425.7437,656612.8358841415,69776435.48668548,8.586266557067406e-07,14771959.30537278,2.718533449079912e-87,1.2736818164510516e-144,5.269751816080549e-23,0.0,0.003402599952058215
4207346.06401623,1538585550.6739602,5.061901889501488e+17,3.25540077349442e+19,104622.74956176656,6016093.645159203,42877.83249122464,15427987.199086158,5020409675880130.0,3.260433358672585e+17,1070.099972192083,60568.6134577013,1914019127173236.5,1.0592136258669899e+17,17701760902392.867,699091017726749.4,3818157.5433319854,1010397950.0194721,93737.17964078383,3983171.055226905,3.4530547860293536e+17,2.129100331941191e+19,38911.541165648,10132166.751927994,19506118648484.3,1064425394517250.0,955.2927250773106,40104.899189034266,3424750229766550.5,2.132461127481124e+17,1736968259160058.0,6.956472617493671e+16,5382326.825364249,2582473293.698589,2139514233.910579,575741900501.7527,7.407714491917688e-06,0.0010099745264771141,412841784.99497855,153441714524.6243,7.366684361454911e+50,2.423338603815361e+51,277493931679467.25,3133829083240119.5,5.122974023534295e-16,5.271706624101088e-16,1.7216363741979242e-28,2.040065904750325e-28,0.010038836365294701,30.733169814230642,2856327.1554792807,1.9016451202168138e+17,70307.38050179627,29016.80166338937,1897768651444388.8,717.2089807287637,1092044064997059.4,8631031147567.186,2536266.967564378,58466.634008323446,1.4485277569863968e+17,25732.328132393013,11107887402372.488,596.495428797334,1449005878367300.8,849137972918982.5,4555840.761197932,853826780.509336,3.91088806976512e-06,281177063.80658686,3.758873634151298e+50,249659671070732.5,1.0493070442501024e-16,4.070358850694956e-29,0.010023090438370326
