,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
424,898,19622.0,NGC2258,NGC2258,06474618+7428546,,G,101.942436,74.481842,65.64180955409999,,0.010372,-21.7609,0.00025649422604406814,39843731059.527115
820,1294,19602.0,NGC2256,NGC2256,06471396+7414114,,G,101.808167,74.236511,80.7542991655,,0.017146088573000002,-21.2558,0.0005197772757383814,25021883631.461826
2100,2575,19554.0,IC0449,IC0449,06454107+7120378,,G,101.421158,71.343834,56.4603397317,,0.011314,-20.6637,0.0013733740539911587,14503739805.768894
2342,2817,19756.0,IC0450,IC0450,06521236+7425372,,G,103.051506,74.42701,85.881551982,,0.025651,-20.6745,0.0015161760170770786,14648730866.134312
5108,5584,19775.0,IC0451,IC0451,06525198+7428506,,G,103.216621,74.480743,78.98701337909999,,0.0178,-20.8588,0.003352214172849939,17358812013.14328
9902,10381,19590.0,PGC019590,PGC019590,06465989+7431415,,G,101.749573,74.528198,63.454310309499995,,0.020032,-19.3433,0.0064404796673179394,4298530375.296938
13457,13940,19521.0,PGC019521,PGC019521,06442104+7426362,,G,101.087692,74.443413,80.6308626275,,0.023468,-20.3535,0.008736254069499155,10899334970.270668
26855,27343,,,UGC03517,06460117+7108287,,G,101.504875,71.141327,61.5312235493,,0.025784,-19.2465,0.01703722860693794,3931877693.146969
38860,39352,,,138972,06572011+7329339,,G,104.333832,73.492775,184.240250397,,0.036529,-21.0069,0.024054317831988803,19895735561.55119
138911,139404,,,19411,06404866+7353008,,G,100.202751,73.88356,99.1961655453,,0.022086,-19.6525,0.06616221630861142,5714786366.718666
138922,139415,,,19708,06510453+7300262,,G,102.76889,73.007301,184.19463501,,0.041155,-20.3874,0.06616690811705565,11245013987.908749
138936,139429,,,19904,06564177+7341392,,G,104.17408,73.694229,79.0751317426,,0.017099,-19.1332,0.06617648852211573,3542256451.9222603
145742,146235,,,213346,06464771+7410485,,G,101.698807,74.180145,107.561855264,,0.024172,-19.7813,0.0693353337389327,6434576966.320041
145743,146236,,,213347,06460812+7412567,,G,101.533844,74.21575899999998,72.09128855979999,,0.01531,-18.8174,0.06933543160869868,2648256213.962509
178284,178777,,,2734821,06565689+7013495,,G,104.237045,70.230423,114.158175596,,0.025819,-20.0725,0.08204327681162803,8413951416.451964
178327,178820,,,2736594,06564717+7030485,,G,104.196556,70.51349599999998,268.728660305,,0.059531,-20.0756,0.08205975479192275,8438009305.707131
178440,178933,,,2741278,06581982+7110311,,G,104.582588,71.175331,248.067249721,,0.055103,-20.5628,0.08210731349893485,13216607721.05604
178451,178944,,,2741615,06590473+7113134,,G,104.76973,71.22039000000002,212.491289191,,0.047396,-20.0397,0.08211196611115426,8163567724.802056
178531,179024,,,2745677,06410754+7147513,,G,100.281418,71.797585,182.09247763599998,,0.040679,-20.2895,0.08214552140992773,10275429881.178131
178613,179106,,,2748864,06414992+7219046,,G,100.458023,72.317955,277.539095447,,0.061398,-20.7376,0.08218240700319704,15525299966.702738
178654,179147,,,2750439,06493095+7235210,,G,102.378967,72.58918800000002,134.479070641,,0.030199,-19.5473,0.08219841510364828,5187044812.315514
178694,179187,,,2751661,06530479+7248007,,G,103.269997,72.800201,219.23080506099998,,0.048859,-19.8275,0.08221400425493003,6714288529.25955
178702,179195,,,2752025,06474265+7251191,,G,101.927711,72.85530899999998,209.221002401,,0.046671,-20.599,0.0822171973724775,13664696807.404655
178729,179222,,,2753199,06465132+7302355,,G,101.713844,73.043205,102.076834239,,0.022839,-19.1646,0.08222824662603027,3646195913.5621133
178752,179245,,,2754099,06531816+7311397,,G,103.325691,73.194374,114.416802831,,0.025804,-18.8054,0.08223618213958431,2619147760.1884284
178816,179309,,,2756872,06543551+7337140,,G,103.647995,73.620575,124.66838047200001,,0.028165,-18.5778,0.08226138810202961,2123831217.1853442
178824,179317,,,2757185,06561542+7340012,,G,104.064278,73.667023,263.855226389,,0.05848200000000001,-21.0388,0.08226439062650885,20488964029.5122
178837,179330,,,2757616,06480390+7343417,,G,102.016281,73.728264,228.818089725,,0.050937,-21.1085,0.08227005690578039,21847412064.79052
178848,179341,,,2757995,06483584+7347227,,G,102.149361,73.789658,118.057794303,,0.026628,-18.7285,0.08227439879599913,2440057159.428205
178917,179410,,,2760687,06474235+7412175,,G,101.926498,74.20488,172.64321393400002,,0.038591,-19.9387,0.08230384566206146,7438408069.837269
178923,179416,,,2760953,06510221+7414322,,G,102.759232,74.242294,113.9218634,,0.025677,-19.218,0.08230545846351679,3830010812.264483
178925,179418,,,2760995,06443311+7414511,,G,101.137978,74.24754300000002,127.86042119,,0.02898,-19.1627,0.08230598081423057,3639820779.287818
178945,179438,,,2761639,06472448+7420223,,G,101.85202,74.339546,72.1088699201,,0.015316,-18.5289,0.08231433536621595,2030298996.6568308
178962,179455,,,2762132,06561329+7424493,,G,104.055382,74.413696,257.64498182200003,,0.057151,-20.4001,0.08232242675556058,11377320699.940334
178990,179483,,,2763248,06501525+7434581,,G,102.563553,74.582825,93.8550848309,,0.020769,-18.8063,0.08233297532059149,2621319752.0914
178995,179488,,,2763627,06485280+7438466,,G,102.220009,74.646294,136.993991645,,0.030788,-19.5735,0.08233445566402353,5313736321.187103
178996,179489,,,2763641,06473874+7438522,,G,101.911446,74.647835,67.536950104,,0.014055000000000002,-18.1847,0.08233451031130345,1478699751.8749385
179005,179498,,,2764001,06513081+7442414,,G,102.878403,74.71151,214.96343633900003,,0.047927,-20.6448,0.08233755456428894,14253450111.64186
182243,182736,,,3086177,06504525+7227198,,G,102.688545,72.45552099999998,144.163904954,,0.032234,-19.9723,0.08366398704669792,7672201491.700258
199381,199874,,,,06504759+7300128,,G,102.698296,73.003571,97.3378757393,,0.021654,-18.9994,0.0895807330144416,3131554684.983284
199382,199875,,,,06511963+7445583,,G,102.831825,74.76621999999998,217.76470789200002,,0.048537,-19.8069,0.08958097648617615,6588097229.217507
199384,199877,,,,06533133+7213207,,G,103.380547,72.22242,252.99711721900002,,0.056156,-19.5706,0.0895816148947419,5299562276.193928
199386,199879,,,,06570238+7434570,,G,104.259941,74.582512,84.3141762075,,0.018406,-19.1585,0.08958238213003412,3625767902.411965
199387,199880,,,,06560348+7401272,,G,104.014534,74.024239,274.040319858,,0.060657,-20.0211,0.08958267870094416,8024906850.284566
199388,199881,,,,06573523+7200391,,G,104.39682,72.010864,167.88382261,,0.037506,-18.706,0.08958276702694146,2390011551.4847217
199389,199882,,,,06590049+7453105,,G,104.752075,74.886261,136.944571402,,0.030766,-19.0377,0.08958288691296343,3243993684.1789627
199390,199883,,,,06591928+7243354,,G,104.83036,72.726509,120.997016515,,0.027279,-19.7539,0.08958311878509251,6274223716.005559
211720,212213,,,,06480525+7245177,,G,102.021896,72.754929,56.840669759300006,,0.011835,-18.9163,0.0937386225531298,2900814783.0747857
215777,216270,,,,06411506+7307036,,G,100.312775,73.11769100000002,189.298494966,,0.042283,-20.6187,0.09513554452341257,13914897128.99743
230432,230925,,,,06492326+7115071,,G,102.346954,71.251976,114.82262518700001,,0.025922000000000004,-20.1851,0.10009251024066153,9333402606.531694
230434,230927,,,,06554813+7132377,,G,103.950546,71.543808,265.598943761,,0.058859,-21.2811,0.10009394985062116,25611793996.34048
234733,235226,,,,06434162+7128006,,G,100.923439,71.466835,208.01215336099997,,0.046403,-20.5894,0.1015719019656764,13544407138.97742
235907,236400,,,,06400652+7331537,,G,100.027168,73.531586,252.834069076,,0.056111,-19.8092,0.10198148309280397,6602068103.905217
235908,236401,,,,06425598+7312101,,G,100.733253,73.20281999999997,181.08065619400003,,0.040461,-19.5354,0.10198167269726438,5130503639.170244
235909,236402,,,,06442253+7408102,,G,101.09388,74.13619200000002,63.831194614,,0.013059,-18.2832,0.10198173253409057,1619123588.7607641
235910,236403,,,,06433561+7449174,,G,100.898415,74.821526,264.925659785,,0.058703,-20.6426,0.10198225822267933,14224597944.783497
235912,236405,,,,06454039+7453320,,G,101.418327,74.892235,199.594934455,,0.04456,-20.4587,0.10198361042741737,12008257716.709036
235913,236406,,,,06451640+7417461,,G,101.318352,74.296143,120.854009007,,0.027284,-20.3023,0.1019839946727048,10397286230.975964
235914,236407,,,,06454579+7411599,,G,101.440804,74.199997,136.122515878,,0.030603,-19.2546,0.10198414106848204,3961320669.2216954
245483,245976,,,,06474035+7402261,,G,101.918129,74.040596,51.7301612729,,0.010754,-18.3477,0.1052783811713526,1718224866.7250106
245484,245977,,,,06470567+7433284,,G,101.773643,74.55791500000002,183.027104372,,0.040901,-20.2766,0.10527875642813443,10154066422.469358
245485,245978,,,,06471805+7446014,,G,101.825233,74.767067,97.5906051672,,0.021684,-18.265,0.10527881527028676,1592208727.0511765
