,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity
7462,7941,14586.0,IC2036,IC2036,04095508-3941194,,G,62.479527,-39.688736,91.0753666788,,0.027613,-20.512,0.004886834353716461,12612465753.175371
14467,14951,,,14787,04165076-3857058,,G,64.211502,-38.951618,227.17203783099998,,0.042802,-22.0048,0.009360265070335938,49879259800.48874
20382,20867,,,ESO303-005,04135875-3805503,,G,63.49479300000001,-38.097309,222.418837723,,0.043215,-21.5169,0.013094392924323423,31824383552.67363
21831,22317,,,ESO303-010,04185214-3727434,,G,64.717285,-37.462074,226.82998431099998,,0.046179000000000005,-21.6465,0.01397163212685753,35859150751.71752
22632,23118,,,14844,04185648-3707304,,G,64.73536700000001,-37.125126,166.645205607,,0.035696,-20.914,0.014452733464822419,18264172487.7436
23205,23692,,,132218,04012208-3705333,,G,60.342041,-37.092587,265.70181835299996,,0.051277,-22.007,0.01480813175340314,49980431357.82396
23586,24074,,,14471,04063577-3847245,,G,61.649059,-38.79015,127.237865024,,0.030288,-20.8751,0.015049574327418196,17621383378.764626
25739,26227,,,14739,04152484-3801406,,G,63.853531,-38.027962,236.12889269,,0.049302,-21.7617,0.016344828408367575,39873099824.03076
26041,26529,,,131301,04152727-3921226,,G,63.863659,-39.356293,227.94872380599998,,0.05354,-21.5972,0.016526251332310327,34267308939.047012
27011,27499,,,14881,04193899-3910256,,G,64.912468,-39.173805,225.767072105,,0.0494033647017,-21.0183,0.017136626039822928,20105737124.168182
30477,30967,,,101160,04142066-3858579,,G,63.58610899999999,-38.982758,217.405199669,,0.046858,-21.3473,0.0192174436614525,27221998141.530552
30607,31097,,,131305,04123666-3951156,,G,63.152786,-39.854336,266.033843983,,0.057757,-21.8107,0.01929592111008241,41713823575.262886
31952,32442,,,132259,04155516-3653278,,G,63.97985799999999,-36.891064,127.13038629799999,,0.041591,-20.4612,0.02007632697002594,12035939609.646809
32455,32945,,,14359,04030488-3608339,,G,60.770344,-36.142757,263.158924984,,0.039539,-21.8651,0.02036800042811036,43857108980.498116
37060,37551,,,131299,04161833-3919238,,G,64.07641600000001,-39.323303,222.21574451400002,,0.038016,-21.7379,0.023019548157313482,39008567307.98368
39143,39635,,,14806,04172424-3716548,,G,64.35100600000001,-37.28191,225.46212598,,0.052696000000000014,-21.2804,0.02421795956455652,25595286784.39188
43345,43838,131307.0,PGC131307,PGC131307,04111254-3949496,,G,62.802269,-39.83046,108.638715291,,0.025352,-19.6699,0.025399227851403645,5807109296.049476
43394,43887,132201.0,PGC132201,PGC132201,04005320-3514156,,G,60.22166800000001,-35.237682,102.76967930299999,,0.023775,-19.7783,0.02541311040830893,6416822113.648792
48977,49470,14749.0,ESO360-002,ESO360-002,04153182-3520279,,G,63.882603,-35.341106,59.0712171909,,0.0133618866809,-18.4969,0.026843011999240086,1971333036.1523907
48980,49473,14774.0,ESO360-004,ESO360-004,04162687-3543583,,G,64.111961,-35.732876,51.3330645439,,0.01141,-19.206,0.026843514973363587,3787913037.8515687
48981,49474,14797.0,ESO303-008,ESO303-008,04171053-3927568,,G,64.29390699999999,-39.465786,86.2216294543,,0.020383,-20.0381,0.02684381622440006,8151546306.702591
79910,80403,,,14321,04015377-3813338,,G,60.474075,-38.22607,264.659188448,,0.059007,-21.2294,0.03798749884949559,24420806361.001297
79912,80405,,,14327,04020142-3927178,,G,60.505951,-39.454956,258.57812442799997,,0.057688,-21.052,0.037988700106841,20739582044.53835
79915,80408,,,14358,04030438-3608059,,G,60.768284,-36.134979,232.464524152,,0.051973,-20.4858,0.03798991605482905,12311756003.899729
79976,80469,,,14885,04194062-3626006,,G,64.91926600000001,-36.433521,258.13484951099997,,0.057604,-20.9512,0.038030936551644266,18900791878.19424
85779,86272,,,92060,04065279-3847285,,G,61.71997800000001,-38.791267,273.595022114,,0.060942,-20.4065,0.040904208797506,11444583707.587177
87140,87633,,,103098,04152548-3927436,,G,63.856182,-39.462128,262.065693462,,0.0584589892295,-19.9321,0.04148526406985348,7393328445.918986
87141,87634,,,103100,04155045-3912428,,G,63.960232,-39.211899,219.572066709,,0.0491843345922,-20.0379,0.04148556526540256,8150044874.673006
87142,87635,,,103104,04164475-3836227,,G,64.186493,-38.606323,256.740080096,,0.057303,-20.5235,0.04148603633876795,12746765610.253172
87143,87636,,,103109,04184894-3814244,,G,64.703934,-38.24012800000001,214.70094054400002,,0.048127,-21.1742,0.04148689410421898,23210259710.0675
87144,87637,,,103110,04190706-3916486,,G,64.77941899999999,-39.280186,262.85521416,,0.05863300000000001,-20.6136,0.04148740593753316,13849688321.912859
87145,87638,,,103123,04054436-3844588,,G,61.43486,-38.749676,273.54346507099996,,0.06093,-20.3421,0.04148780452950738,10785492967.80599
87146,87639,,,103133,04084700-3841498,,G,62.195835,-38.69717,204.01192474299998,,0.045611,-20.4363,0.04148823924843506,11763051542.916744
87147,87640,,,103135,04094107-3927544,,G,62.42114599999999,-39.465126,277.952055458,,0.061884,-20.3658,0.041488646636732886,11023512527.935528
87148,87641,,,103145,04122151-3814033,,G,63.089638,-38.234261,244.924119058,,0.054724,-21.4832,0.04148978680395025,30851763959.1131
87149,87642,,,103151,04131844-3822017,,G,63.326843,-38.367157,280.374503724,,0.062404,-20.2437,0.041490150860249306,9850992762.612669
87153,87646,,,103169,04005625-3913042,,G,60.234379,-39.217846,229.988396513,,0.0514170557085,-21.0895,0.04149274468141785,21468415893.607468
87793,88286,,,111925,04143935-3849199,,G,63.66399000000001,-38.82222,260.519887569,,0.05812100000000001,-20.1782,0.041740180562352416,9274275653.176956
87794,88287,,,111927,04145404-3817545,,G,63.72520400000001,-38.298492,227.17666041900003,,0.050837,-19.9678,0.04174046292584807,7640468683.654402
87795,88288,,,111934,04152718-3920156,,G,63.86328100000001,-39.337681,258.237497469,,0.057628,-19.8511,0.04174071651376124,6861830721.678578
87796,88289,,,111936,04153102-3809037,,G,63.879257,-38.151043,255.243327728,,0.056976,-20.1458,0.04174104917986355,9001606000.762762
