,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
2634,3109,,,UGC03367,05511351+3754024,,G,87.806313,37.900677,98.6061755803,,0.0219181309591,-18.4995,0.0017021617596625284,1976059421.548991,623.0
131999,132492,,,3097147,05470629+3758003,,G,86.776222,37.96677,88.5413981642,,0.019052,-20.1927,0.06294392033397228,9398964299.399466,623.0
144173,144666,,,168972,05543333+3502082,,G,88.638878,35.035625,224.866176648,,0.050151,-20.6936,0.06867282744626238,14908707698.154497,623.0
144176,144669,,,168983,05501564+3338216,,G,87.565208,33.639343,120.24183508700001,,0.026966000000000004,-19.5593,0.06867315024469954,5244692134.256796,623.0
144177,144670,,,168984,05521278+3344455,,G,88.053291,33.745995,111.07866779700001,,0.024529,-21.1682,0.06867400328303705,23082348831.177708,623.0
172186,172679,,,2085544,05533021+3642453,,G,88.375893,36.712601,190.226102911,,0.042542,-20.0904,0.07962176104635701,8553817891.389664,623.0
172290,172783,,,2092404,05534549+3704233,,G,88.439545,37.073147,220.139377735,,0.049056,-20.6755,0.07966312341182577,14662229061.058128,623.0
185680,186173,,,,05461023+3341440,,G,86.542648,33.695564000000005,184.02586378,,0.041187,-20.6794,0.0850220702605171,14714990972.487024,623.0
185681,186174,,,,05460591+3343480,,G,86.524628,33.730015,260.062352485,,0.057666,-20.1494,0.0850224040314786,9031502365.255486,623.0
185693,186186,,,,05464227+3507033,,G,86.676132,35.117611,197.803264984,,0.044214,-19.2572,0.08502501926030567,3970818165.4939647,623.0
185694,186187,,,,05472183+3538469,,G,86.840965,35.646366,183.54696728,,0.041068,-20.2287,0.08502537832156505,9715832074.866394,623.0
185695,186188,,,,05465622+3543369,,G,86.734276,35.726933,222.183435391,,0.049525,-19.3486,0.08502553795672428,4319564865.016144,623.0
185696,186189,,,,05470086+3507319,,G,86.75361600000002,35.125546,267.750606755,,0.059269,-19.9377,0.08502581259973406,7431560196.868531,623.0
185697,186190,,,,05470166+3405579,,G,86.75692,34.099438,190.756285754,,0.04267,-19.8974,0.08502607723550633,7160774540.047125,623.0
185701,186194,,,,05475425+3445419,,G,86.97604399999999,34.761665,202.603150742,,0.045271,-20.4882,0.08502762664112136,12339001016.315945,623.0
185702,186195,,,,05474281+3500050,,G,86.928413,35.001408000000005,280.20544022,,0.06201,-20.3354,0.08502802278098688,10719141402.651009,623.0
185703,186196,,,,05474743+3531480,,G,86.947647,35.530014,276.90567395799997,,0.061247,-20.4687,0.08502847066808243,12119368757.3412,623.0
185704,186197,,,,05483146+3458592,,G,87.131088,34.983131,126.16772665799999,,0.028498,-19.7767,0.08502870746091343,6407372899.273545,623.0
185711,186204,,,,05483624+3335125,,G,87.151016,33.586811,208.007557838,,0.04647,-19.9554,0.0850320222150118,7553704651.726932,623.0
185712,186205,,,,05485465+3337015,,G,87.227722,33.617088,24.0082126997,,0.005372999999999999,-16.6328,0.08503203530106103,354095167.6781206,623.0
185713,186206,,,,05484568+3419515,,G,87.190361,34.330986,218.774308037,,0.048819,-18.729,0.08503212551809601,2441181106.0548944,623.0
185714,186207,,,,05484111+3511205,,G,87.171318,35.189041,212.385447752,,0.047411,-20.7996,0.08503273299329196,16437660258.64603,623.0
185715,186208,,,,05492500+3505480,,G,87.354202,35.096691,153.987854604,,0.034522000000000004,-19.7984,0.08503297456637936,6536721770.237299,623.0
185716,186209,,,,05492892+3507240,,G,87.370506,35.123356,103.39604443200001,,0.022523,-18.8315,0.08503307371542762,2682872290.6666718,623.0
185717,186210,,,,05492823+3422400,,G,87.367638,34.377804,243.590577442,,0.054183,-19.9883,0.08503336146093379,7786100408.118516,623.0
185724,186217,,,,05494407+3307303,,G,87.433655,33.125103,226.12749947,,0.050443,-19.8338,0.08503531550064483,6753361536.581812,623.0
185725,186218,,,,05493977+3459193,,G,87.415718,34.988708,260.41717022,,0.057728,-20.6383,0.08503583911138947,14168373597.876856,623.0
195625,196118,,,,05501091+3456306,,G,87.54549399999998,34.941841,47.495893985500004,,0.011164,-17.0793,0.08828313719139172,534219824.0949106,623.0
195626,196119,,,,05503956+3501325,,G,87.66487099999998,35.025696,197.262752858,,0.0441,-19.0102,0.08828325407902088,3162860226.8951306,623.0
195627,196120,,,,05502995+3359425,,G,87.624825,33.995163,140.194534138,,0.031512,-20.4017,0.08828367516283668,11394099299.219543,623.0
195634,196127,,,,05511826+3347263,,G,87.826103,33.790657,126.248309645,,0.028543,-20.9611,0.08828620946777249,19073921898.1682,623.0
195895,196388,,,,05520842+3408275,,G,88.03511,34.140991,266.192853669,,0.05893,-19.937,0.08837365659003422,7426770437.146991,623.0
195896,196389,,,,05520558+3422355,,G,88.02325400000002,34.376541,69.8066276149,,0.015277,-18.7835,0.08837375145122016,2566847101.667867,623.0
195907,196400,,,,05524090+3403307,,G,88.17041800000001,34.058537,37.7304662989,,0.008903,-17.7055,0.08837564049191153,951042664.1573943,623.0
195908,196401,,,,05524750+3357357,,G,88.197929,33.959934000000004,228.665471653,,0.050995,-20.12,0.08837596534615921,8790225168.308859,623.0
195909,196402,,,,05525377+3404537,,G,88.22406,34.0816,243.191083408,,0.05412,-20.5027,0.0883764274808278,12504893576.554388,623.0
195910,196403,,,,05523421+3451086,,G,88.142563,34.852413,194.03074348299998,,0.043393,-19.6414,0.088376636530047,5656659013.233383,623.0
195911,196404,,,,05533124+3443397,,G,88.380173,34.727699,249.27227955799998,,0.055409,-20.6384,0.08837716018902017,14169678613.40761,623.0
195914,196407,,,,05534094+3443305,,G,88.42061600000002,34.725143,124.440187185,,0.028074,-19.9638,0.08837784651927905,7612371944.66858,623.0
195915,196408,,,,05543756+3540292,,G,88.65654,35.674786,225.59149360700002,,0.050293,-20.5056,0.08837830988995869,12538338777.299686,623.0
195921,196414,,,,05544905+3432030,,G,88.704391,34.534191,265.299689947,,0.05872,-20.8587,0.08838084176833126,17357213281.09786,623.0
195922,196415,,,,05544814+3539440,,G,88.70058399999998,35.662243,196.30562853799998,,0.043891,-20.2537,0.08838120919320178,9942142876.387356,623.0
195923,196416,,,,05551675+3450101,,G,88.81979399999999,34.836159,264.9724113,,0.058646,-20.157,0.08838154530870901,9094943385.552956,623.0
