,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
7085,7562,,,19962,06590557-5907377,,G,104.773224,-59.127159,121.10874586899999,,0.0266215033108,-20.7059,0.0046302999357232325,15078564566.94015,2863.0
8610,9089,,,ESO122-003,06413859-6015437,,G,100.410797,-60.262157,127.82010791399999,,0.033208,-20.956,0.005604908613257996,18984536566.615017,2863.0
10891,11371,,,90054,07032428-6015221,,G,105.851173,-60.256145,135.62400016200002,,0.042665,-20.4617,0.007074079989577337,12041483641.134314,2863.0
15074,15558,,,149052,06411758-6009483,,G,100.323265,-60.16341800000001,128.084393626,,0.025144,-21.1405,0.009742414566298143,22500905722.79306,2863.0
15951,16435,,,149438,07043737-6011136,,G,106.15573899999998,-60.187122,138.984945797,,0.028584,-20.8008,0.010311316388955423,16455837875.626097,2863.0
16976,17460,,,ESO122-009,06531858-5910402,,G,103.327423,-59.177845,122.861205484,,0.032173,-20.5681,0.010943646176666785,13281282057.389557,2863.0
18245,18730,,,345398,06454867-6222554,,G,101.452827,-62.382069,191.570013505,,0.039719,-21.2836,0.011758512410548207,25670835279.104343,2863.0
18511,18996,,,2816565,07050781-5901200,,G,106.282555,-59.022236,118.40606228200001,,0.028693,-20.1289,0.011921564740240751,8862576562.220352,2863.0
22026,22512,,,3098117,07032858-6016441,,G,105.869118,-60.278919,134.690064467,,0.034595999999999995,-20.3507,0.014088363805711076,10871262939.469864,2863.0
23735,24223,,,335938,06401406-6306046,,G,100.058624,-63.10128,114.251813905,,0.0257934728967,-17.6593,0.01514150547171454,911423033.7446797,2863.0
24442,24930,,,352072,06481924-6149238,,G,102.080208,-61.823292,129.97089964,,0.029801,-20.0372,0.0155687028826896,8144792040.054758,2863.0
25770,26258,,,341048,06475702-6241563,,G,101.98761,-62.698975,190.69686432700001,,0.05636,-20.9797,0.016361607392574862,19403496650.90017,2863.0
26004,26492,,,3081329,06511568-6134238,,G,102.815361,-61.573292,175.093842656,,0.033575,-21.2044,0.016502550331645383,23864920941.725,2863.0
32271,32761,,,369087,06490588-5944164,,G,102.274513,-59.737896,185.782436063,,0.028637,-20.718000000000004,0.020264161399390617,15247547676.599262,2863.0
34348,34838,,,ESO122-004,06421314-6104148,,G,100.554787,-61.070793,198.69210140799998,,0.05563,-21.1909,0.02145636199820072,23570022657.22186,2863.0
94634,95127,,,148974,06372934-6018524,,G,99.372276,-60.314575,248.862799928,,0.056056,-20.8858,0.045578748501023184,17795901775.756626,2863.0
94650,95143,,,149049,06404150-6305122,,G,100.17292,-63.086723,281.370268691,,0.063015,-21.2744,0.04558892094518258,25454232109.91056,2863.0
94651,95144,,,149050,06410971-6134063,,G,100.290482,-61.568424,282.920854253,,0.063349,-21.5593,0.045590143894755734,33091770216.46817,2863.0
98623,99116,,,179770,06431413-6134462,,G,100.808907,-61.57950200000001,248.793007257,,0.056045000000000005,-20.9102,0.04778275313658537,18200360907.707195,2863.0
98624,99117,,,179779,06442534-6152541,,G,101.105606,-61.881718000000006,59.2462362495,,0.014046,-18.4303,0.04778282165519627,1854043843.8916812,2863.0
98625,99118,,,179783,06442914-6005502,,G,101.121422,-60.097286,230.321524203,,0.052055999999999984,-21.0077,0.04778355747004866,19910400683.436096,2863.0
98628,99121,,,179810,06580117-6047495,,G,104.504906,-60.797104,274.570065366,,0.061588,-21.0963,0.0477853217903696,21603295193.349583,2863.0
103059,103552,,,342149,06481267-6237032,,G,102.052803,-62.617565,208.205171227,,0.046913,-20.3095,0.05010565218794821,10466464385.522007,2863.0
103072,103565,,,344402,06461979-6227213,,G,101.582481,-62.455933,150.262973958,,0.034477,-19.5673,0.05011115332300644,5283479175.275353,2863.0
103075,103568,,,344728,06452648-6225502,,G,101.360336,-62.430626,216.69551766799998,,0.04875,-21.2822,0.05011297091715534,25637755412.788143,2863.0
103109,103602,,,350207,06524675-6200448,,G,103.194824,-62.012451,215.58982756900002,,0.048503,-20.6881,0.050130518434523236,14833375813.305738,2863.0
103158,103651,,,354666,06483496-6131040,,G,102.145691,-61.517784,198.591293157,,0.044569,-20.4438,0.0501566380192008,11844589120.89895,2863.0
103179,103672,,,355944,07014335-6121395,,G,105.430656,-61.360985,262.247874206,,0.058947,-20.8016,0.05016748682197008,16467967453.214172,2863.0
103200,103693,,,357196,06395260-6112115,,G,99.969185,-61.203213,228.688595149,,0.051446000000000006,-20.9062,0.05017799790485132,18133431664.090744,2863.0
103215,103708,,,359024,06422657-6058077,,G,100.610725,-60.968815,228.952214475,,0.051752,-20.9707,0.050185606862262463,19243319917.379917,2863.0
103225,103718,,,360002,06511077-6050402,,G,102.794907,-60.844513,277.689256968,,0.06224800000000001,-20.9728,0.05018991078883411,19280575815.94189,2863.0
103256,103749,,,362094,07063537-6035420,,G,106.647415,-60.595016,268.68653737299996,,0.060336,-21.1782,0.05020602902895551,23295927175.29486,2863.0
103278,103771,,,363860,07102614-6022433,,G,107.608925,-60.378696,141.229134592,,0.032602096301,-19.6096,0.050216438882087135,5493384528.07389,2863.0
103343,103836,,,368789,06521356-5946388,,G,103.056503,-59.77747,226.02121549700001,,0.050896,-20.8787,0.05024962861572795,17679907968.744785,2863.0
103353,103846,,,369321,06482526-5942378,,G,102.105278,-59.710506,192.251327115,,0.042806,-21.1743,0.050254559094543814,23212397552.437702,2863.0
103367,103860,,,369858,06532184-5938282,,G,103.341034,-59.641174,118.40159705100001,,0.02783,-19.1618,0.05026133078636204,3636804870.5057726,2863.0
103374,103867,,,370358,06542308-5934333,,G,103.596184,-59.575939,124.57441643700001,,0.029073,-20.3741,0.05026460051536717,11108105606.410095,2863.0
103375,103868,,,370396,06554903-5934131,,G,103.954308,-59.570328,89.0365210807,,0.021716,-18.9618,0.05026471230680701,3024962533.85643,2863.0
103376,103869,,,370487,07035900-5933292,,G,105.995842,-59.558136,227.430912787,,0.051438,-20.6322,0.05026523298399393,14088994513.291643,2863.0
103382,103875,,,370842,06501855-5930555,,G,102.577309,-59.515423,198.5271441,,0.044328,-20.6031,0.05026763383259787,13716395527.903187,2863.0
103406,103899,,,373507,06533727-5909389,,G,103.405319,-59.160828,170.580529727,,0.038055,-20.1656,0.05027850937768251,9167269522.039465,2863.0
103415,103908,,,374284,07032693-5903280,,G,105.862228,-59.0578,242.536202594,,0.054707000000000006,-20.8479,0.0502829867105068,17185414045.954952,2863.0
103464,103957,,,377446,06595201-5839174,,G,104.966736,-58.654858,230.63154825200002,,0.052129,-20.4336,0.050309819404037205,11733835623.627424,2863.0
103468,103961,,,377574,06595726-5838224,,G,104.988609,-58.639576,229.07709415,,0.051792,-20.1079,0.05031268453851952,8692806251.178745,2863.0
129479,129972,,,2816546,06380056-6023489,,G,99.502365,-60.396938,249.942445112,,0.056289,-20.9882,0.061697605152916536,19555998712.52986,2863.0
129480,129973,,,2816553,06522809-5936158,,G,103.11705,-59.604416,192.557736975,,0.042888,-20.6888,0.061698153693229285,14842942327.66165,2863.0
130268,130761,,,3081316,06461363-6125424,,G,101.556801,-61.428448,189.490391708,,0.042427,-20.6389,0.06210989023875911,14176205494.311718,2863.0
130277,130770,,,3081335,06523236-6130447,,G,103.134842,-61.51244000000001,137.020948479,,0.031482,-20.7539,0.062114853539396477,15760137420.48999,2863.0
135893,136386,,,ESO122-008,06523852-5853268,,G,103.16053,-58.890785,108.318286377,,0.0255614227807,-19.9735,0.06462140569782086,7680685809.90103,2863.0
135912,136405,,,ESO122-013,07072334-5823383,,G,106.847267,-58.393993,143.425446405,,0.033352,-20.4411,0.06463255138136789,11815170686.531916,2863.0
138937,139430,,,19935,06580027-5815364,,G,104.501129,-58.260128,211.396227127,,0.047468,-20.3745,0.06617689918792824,11112198737.687344,2863.0
143283,143776,,,149048,06404040-6319381,,G,100.168365,-63.327274,210.448698377,,0.047394,-20.8317,0.0683007030011306,16930898260.46775,2863.0
143287,143780,,,149072,06421287-6018168,,G,100.553658,-60.304684,130.715070944,,0.030358,-19.6506,0.06830200090079162,5704794437.787686,2863.0
148412,148905,,,346409,06494725-6218548,,G,102.446907,-62.315224,164.985411893,,0.037469,-20.0122,0.07048113983968056,7959393938.486123,2863.0
148453,148946,,,349652,06521943-6203486,,G,103.080986,-62.06351899999999,96.7571237472,,0.023212,-19.0264,0.07049593612818474,3210406307.5962253,2863.0
148456,148949,,,349727,06494572-6203198,,G,102.440536,-62.055504000000006,232.029331706,,0.052429,-20.1267,0.07049691079952616,8844636727.60018,2863.0
148514,149007,,,353344,06385450-6140439,,G,99.727097,-61.678864,236.555353172,,0.053402,-20.1837,0.07051708153617159,9321375428.329641,2863.0
148530,149023,,,354416,06410187-6132493,,G,100.25782,-61.547035,248.462675023,,0.055972,-20.2843,0.07052289974535908,10226334635.37409,2863.0
148532,149025,,,354533,06432614-6131561,,G,100.858948,-61.532253,219.968712848,,0.049443,-20.3108,0.07052363564367342,10479003851.98558,2863.0
148555,149048,,,356192,06392662-6119308,,G,99.860947,-61.325249,241.431092921,,0.054455,-21.096,0.07053205290278591,21597326806.89397,2863.0
148634,149127,,,360998,06373066-6043194,,G,99.377754,-60.722069,282.41801206,,0.06324099999999999,-19.9005,0.07056185193353404,7181249238.8347645,2863.0
148662,149155,,,362600,07095425-6032023,,G,107.476044,-60.533989,189.08376707099998,,0.042328,-20.2103,0.07057144529364766,9552564966.834602,2863.0
148665,149158,,,362813,06454325-6030324,,G,101.430237,-60.509003,270.826105108,,0.060777,-20.9355,0.07057273533556208,18629448569.616573,2863.0
