,Unnamed: 0,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,flag,RA,dec,Luminosity Distance,Distance Error,Redshift,Absolute B Magnitude,Luminosity_Rank,B Luminosity,Sector
0,474,28655.0,NGC3034,NGC3034,09555243+6940469,,G,148.96846000000005,69.679703,4.70228466231,,0.00090762045381,-19.2115,1.4069820272388118e-07,3807150103.8017936,95.0
193,667,,,,09471545+6754589,,G,146.81440700000005,67.916382,0.0128482789374,,0.012006,-5.3902199999999985,0.00011883728528471434,11274.258805064856,95.0
1592,2067,27939.0,NGC2959,NGC2959,09450901+6835400,,G,146.287552,68.59446700000001,65.4839378705,,0.013879,-21.0857,0.0010282351949615586,21393409290.3809,95.0
7016,7496,29250.0,PGC029250,PGC029250,10050952+7033258,,G,151.289703,70.55719,97.0452687947,,0.021463,-20.3319,0.004581184310378786,10684642608.727322,95.0
14817,15337,,,UGC05386,10024102+7044305,,G,150.670929,70.741814,157.545352003,,0.027235,-21.749,0.009596915813968815,39409416073.22883,95.0
16214,16756,,,,10011534+7059081,,G,150.31393400000005,70.985603,96.57981775569999,,0.029784,-20.3714,0.010514328090759577,11080516377.9119,95.0
16982,17531,,,27050,09313282+6945315,,G,142.886765,69.75876600000001,163.399002529,,0.029603,-21.5402,0.010993425878143549,32514718619.441944,95.0
19062,19652,,,3086359,09562977+6802046,,G,149.124054,68.034622,159.19665821700002,,0.037217,-20.4827,0.012339897487945223,12276653546.466162,95.0
19779,20378,,,28802,09581694+6806090,,G,149.570602,68.10251600000001,167.575256753,,0.042106,-21.069000000000006,0.012783631053316941,21066869257.39428,95.0
21301,21933,27958.0,NGC2961,NGC2961,09452254+6836299,,G,146.343948,68.608315,66.5936097417,,0.025067,-19.4882,0.013731227306083536,4912244782.0622635,95.0
26044,26822,,,27461,09381242+6850003,,G,144.551758,68.83341999999999,67.0147837465,,0.02329,-19.5499,0.016716578134782088,5199481053.378225,95.0
26384,27172,,,29254,10051583+7019448,,G,151.315979,70.329132,96.8103176303,,0.027366,-19.8206,0.016932464506513114,6671753620.886268,95.0
31307,32337,,,3086325,09515953+6940584,,G,147.998062,69.68289200000001,93.9746541656,,0.036117,-19.6961,0.020015907964812514,5948945633.60185,95.0
34547,35765,27688.0,PGC027688,PGC027688,09413995+6822585,,G,145.416473,68.382935,65.7382909885,,0.020899,-19.8071,0.02198821508619775,6589310913.35622,95.0
