Max Rank,Sum Ranks,Top 5 Avg,Max Rank2,Sum Ranks2,Top 5 Avg2,Max Rank3,Sum Ranks3,Top 5 Avg3,Max Rank4,Sum Ranks4,Top 5 Avg4,Max Rank5,Sum Ranks5,Top 5 Avg5,Max Rank6,Sum Ranks6,Top 5 Avg6,Max Rank7,Sum Ranks7,Top 5 Avg7,Max Rank8,Sum Ranks8,Top 5 Avg8,Max Rank9,Sum Ranks9,Top 5 Avg9,Max Rank10,Sum Ranks10,Top 5 Avg10,Max Rank11,Sum Ranks11,Top 5 Avg11,Max Rank12,Sum Ranks12,Top 5 Avg12,Max Rank13,Sum Ranks13,Top 5 Avg13,Max Rank14,Sum Ranks14,Top 5 Avg14,Max Rank15,Sum Ranks15,Top 5 Avg15,Max Rank16,Sum Ranks16,Top 5 Avg16,Max Rank17,Sum Ranks17,Top 5 Avg17,Max Rank18,Sum Ranks18,Top 5 Avg18,Max Rank19,Sum Ranks19,Top 5 Avg19,Max Rank20,Sum Ranks20,Top 5 Avg20,Max Rank21,Sum Ranks21,Top 5 Avg21,Max Rank22,Sum Ranks22,Top 5 Avg22,Max Rank23,Sum Ranks23,Top 5 Avg23,Max Rank24,Sum Ranks24,Top 5 Avg24,Max Rank25,Sum Ranks25,Top 5 Avg25
5720368.806860965,662439435.4799335,4383631.179072811,9238765684275652.0,2.5798638213140852e+16,4189918640085070.5,37178843453834.586,125670166503880.27,19248406131617.484,9.877657256728931e+25,2.8522327209211295e+26,4.955289289308838e+25,1955197550356917.0,1.0756616216769997e+17,1831465574178835.2,1129.7666087203245,50816.70574986758,846.595732397639,3782118323795746.0,8.552852035271718e+16,2723241693768363.5,32722619286507.945,592781571642170.0,20105462379413.52,5479278.240741667,462637802.0827327,3766007.376454973,108754.6675868881,3585288.390981756,66670.66654953531,1.656850620300685e+17,7.593453326518473e+18,1.4234611116659128e+17,54520.96184757944,4567533.478312546,37404.638292930525,37624678437601.125,845809006908888.8,27072705953335.004,1082.1514845079878,35452.357457414866,663.3338490194071,1648631178918277.0,7.497825967571107e+16,1411419401736568.5,3288576168884974.0,5.994097369029017e+16,2023601074095894.8,10025430.336331442,1060472604.3607135,6418504.810864033,443732780.4005403,101694101788.61806,397487498.81428903,6.412752666918443e-06,0.0006897920793527054,4.563259856081513e-06,864119.7922797265,2827083.2093804823,458580.95658512897,4.3689278620748697e+49,6.475327958642943e+49,1.2049410545797753e+49,404096173074382.4,1601089269752492.8,211797733258054.44,1629942.703581248,38276963.05613539,1257899.1096784356,0.8528389725238712,1.079487016924214,0.21551444486252228,0.009919845202914921,9.567757190113271,0.009878302919939333
9170096.442809712,286604316.3072828,4271946.740540365,3506013704158022.0,3563516230437507.5,712649760432526.9,27044390705082.047,27351751271857.83,5470080528806.096,5.930531394998761e+25,6.007756858902702e+25,1.2014476928086298e+25,1.5477176900767538e+16,5.610585688507139e+16,3942762752004372.0,807.6350358226493,22940.41204035445,445.2265830824878,1.3974533123153788e+16,4.706265655744971e+16,3813587605071077.0,84090668770431.33,290931443142009.0,24492264057540.46,5587101.470908209,184480835.8532922,3267092.2669695774,49823.01019813121,1481669.9571714937,34751.63432224169,9.547871357261846e+17,3.592268308887551e+18,2.571419818863826e+17,55180.34382755786,1819250.8612035639,32308.087190959555,138017815960638.53,464783785263641.7,37686452336204.04,492.07104033675245,14633.377002591402,343.69511590592083,9429841699820740.0,3.5437696991189744e+16,2540970439056844.5,8514319893423632.0,2.946059800085089e+16,2478280118559686.0,15050857.624170195,500746834.4047387,6761049.37059789,1028325248.1182677,42682901244.42839,435891916.07199687,2.8564360939826224e-06,0.00029784182318002585,2.5995941245303234e-06,207268.64550636822,211582.1081829447,42313.62526499882,5.963847081284703e+48,7.195688308252423e+48,1.3969461054523295e+48,600000138038785.5,653633933839944.8,130025518244229.25,1322167.65862857,14301654.725477463,988644.886401139,0.008888044758389044,0.008888044775138302,0.0017776089550276604,0.009838559592293503,4.12425903366294,0.009755798002684057
3595878.4411296407,577894602.0350634,2950234.421645264,3494055900556337.0,8116078455344930.0,1604569015996915.8,54480882225384.195,74765774740281.61,14850955204873.316,6.9289679258992096e+25,1.1674422450036949e+26,2.3310317688628246e+25,1376399945979685.5,8.054455432857469e+16,1071794073005526.6,840.4020693672182,42251.507242951404,527.2267340545617,1898619749899503.8,5.745961314331968e+16,1204555257114016.0,12930341763380.94,383598442007969.5,8912551861660.4,3491994.4506633338,391454885.90255463,2466607.6366218654,76268.08200484466,2981228.1102415007,45748.090149827134,1.0110706329841666e+17,5.686958853423901e+18,8.549552032685322e+16,34336.67675757833,3796150.225124166,24159.76172969404,18651118164000.082,558689550981348.9,11840683681096.018,757.2103623291925,29047.851241467346,451.2162159282956,973033924096160.5,5.510276015712318e+16,831962321543150.8,1314998594700667.5,3.944912119421722e+16,907927610039230.4,5758469.9655649,940091118.3534977,4096035.7168090977,464772770.52952725,95273004413.07047,366568605.76922846,2.6812398788122777e-05,0.001168254054578692,8.914397745923531e-06,325964.157884157,767037.6799326129,141898.7019704673,1.5605372427740365e+49,1.8422052084321275e+49,3.6397871752353944e+48,1553435859252678.8,1897888151760334.8,372346496085953.94,1569268.936891438,23562358.985354908,1094091.339696828,326.01576949446905,364.62655453422275,72.92530404701168,0.010006141105200796,15.593959088993433,0.009834278418101403
20748675.52037465,441929550.3695486,8192720.4186220225,2.1351323513580292e+16,4.282732577704771e+16,6717791688426340.0,87717742295423.92,194743607452150.84,30371957657295.305,3.370581253471582e+26,5.823051773970549e+26,9.883906178352125e+25,1.197218289513966e+16,7.82616410069076e+16,3525068575130437.0,7689.639412357747,59105.560149113764,3219.521108867427,4.397471275025832e+16,1.0692000895637864e+17,1.1393355985776618e+16,430507535849794.2,903048580944302.6,106557709417812.19,20222049.16505286,323986324.36335754,7554593.603159663,746101.295700197,4586080.813531419,296839.73659110686,1.1616228917143235e+18,6.04156256301568e+18,3.331182774735419e+17,203127.22043581662,3219157.669050589,75910.66797022866,441718892952760.1,1069629735809605.5,114456234834939.72,7494.467109745361,45896.5344685718,2983.387458357746,1.1668314484979116e+16,6.004953998191228e+16,3332260431968447.0,4.285858161797229e+16,9.021287799747485e+16,1.0607075037194708e+16,21289016.376925066,663392816.6408583,9478187.453104788,634154889.8963209,67926931917.579254,525512664.4308063,5.473424839630345e-06,0.0005784858141386767,5.161478308776243e-06,1352523.4418011045,3904912.051712722,574100.5228670783,2.2004413707099284e+49,6.650580920426228e+49,1.1015859739870696e+49,391731119037577.3,1894035571378139.5,227980003665114.56,9805019.653562551,43076526.93418208,3011475.913625934,0.11876972156508037,0.32409346446597254,0.06320632879046219,0.009915372298054165,6.620582963617734,0.009897452236652034
6639955.634756361,485244896.5290196,3871026.4619138436,4.251689110815976e+16,7.607026765908859e+16,1.3447604068623226e+16,193537682726600.22,367495565157414.6,64264225093111.45,9.588739072398347e+26,1.4181077592024653e+27,2.6531917152282e+26,1842389379128508.0,6.928927544640275e+16,1097604463685647.0,5711.022723813273,42025.97250699237,1772.7185849254397,4450653110986393.5,4.9378852462101256e+16,2006465573441958.5,44089010831532.76,359364120202021.25,17270049188321.094,6505214.848702286,344407173.02400875,3301538.4681386305,553350.3808869277,3104676.561756924,154438.1978117876,1.223146468773872e+17,4.95376647317078e+18,8.302720484689814e+16,65776.65538098711,3414690.5066341753,33091.901917846255,45002214793884.96,490775131724097.8,20116794020096.824,5595.132236992646,30964.9521655606,1559.6964799321884,1217710185572016.5,4.908026155871312e+16,826030368095024.2,4360338577032384.0,3.6136526545154824e+16,1720589928700271.8,6777487.270897437,746509064.5303981,4768126.712013538,325797682.1336191,82648447846.64139,314070591.26818514,1.0747430756741719e-05,0.0006502923100829866,8.9401081709337e-06,1885217.6661127708,4756003.460399055,780125.4106407891,5.418376399429696e+49,9.599406367787273e+49,1.677675880097694e+49,969119641893165.4,3254352258183587.0,450341421389988.1,3652302.3229654552,38412705.11496864,1859819.300173731,3.2107543528732347,3.9612409548974514,0.7917337351110861,0.009934553811923576,8.292043847110222,0.009909202632327679
7933948.416607629,533930716.2951486,4528326.420242976,2.883567632031992e+16,3.770561930302594e+16,7533198663587440.0,135553139807219.5,224161539809541.84,44782991133473.55,5.43463200350577e+26,6.295431525885096e+26,1.2581251455833156e+26,2533945360361153.5,8.737895463858237e+16,1868644958112643.2,2580.120236303091,48041.6576858295,1238.6069045185493,8283465573248511.0,7.504278279353322e+16,3265136152382162.0,62947537477390.71,480980065964717.75,23544139030800.754,6044886.802375472,340863580.50403917,3467929.8278562026,197092.8509788043,3082907.95980727,93900.04513910691,2.3479936656129328e+17,5.74317384789132e+18,1.461720023696572e+17,60291.4940470062,3362345.507303087,34431.201151114925,82619002079879.19,741943364394634.4,32454939901518.707,1965.7973490630727,30504.69681632577,936.9132805544161,2314491192433875.0,5.663477755756619e+16,1446767037558818.2,6311184430799637.0,4.8644978473951976e+16,2367167839492605.5,10413352.563137174,958707007.4726896,6813720.980144218,579440231.5389454,78683985925.09497,425690263.330523,7.937551440705297e-06,0.0006768727742830756,4.77339670773099e-06,1529995.4593317038,2499264.582694869,499169.78074567823,2.180136459658758e+49,3.3449313034013784e+49,6.409824540228687e+48,913158951479679.0,2187239636335629.5,426488844090043.2,1259241.544750464,23144438.245173953,1092263.1234374202,153.9936436067443,154.44544843167253,30.88908968628855,0.009898951777045837,8.176433302916283,0.009829455720003533
46564747.524410225,559470549.0941942,13835306.564418089,2.9939924912155012e+16,3.798782015223375e+16,7580421361253341.0,197212453045972.16,262858206082413.47,52168855082823.734,5.33692017211882e+26,6.573891594007205e+26,1.3133882103731706e+26,4.942557412008162e+17,5.778241239107487e+17,1.0062461506651696e+17,2365.913503648648,57712.23799345622,1779.934335475197,2.4146950874767258e+17,3.1892474973503546e+17,5.144738032923544e+16,2168275712012069.0,2706976703357543.0,461790396754841.2,42955125.167270824,396012314.60469985,12805094.536159554,237295.2663881759,4291451.247401579,166444.20430166757,4.683979534566926e+19,5.254900798389487e+19,9.49897706905824e+18,418128.2001888613,3877649.5190018453,125403.92739679741,2350481128852166.5,3112285794906237.0,501329681626524.4,2352.472548797926,42307.19073707967,1643.9115545416184,4.559418520801306e+17,5.1181093408640966e+17,9.247900486488854e+16,2.2275119105710307e+17,2.7748643476782304e+17,4.738787335305608e+16,50477695.11946765,884186288.714217,16118124.27093209,9791567147.252676,86831613051.07166,2315119454.585788,3.622391600931638e-05,0.0006576152798646528,1.684017637197584e-05,1679618.7217272904,2259217.660265839,448618.7291206956,3.717631759408058e+49,6.206029953045893e+49,1.2059467326497569e+49,8193105137803003.0,1.0852294292284936e+16,2110760356404866.0,7008735.47241835,51674812.055335745,3637349.4471423165,10.191279421599491,10.931576230919164,2.185958129573538,0.009908878112986363,6.815424562418177,0.009869567271982068
19508295.126066472,567756921.7596675,6094908.258398697,691069550517749.1,1752838904087734.2,316471182419104.4,3039394262266.022,10169532796538.188,1813348633561.2546,1.0929536827222404e+25,2.0531953227159594e+25,3.763124280537988e+24,2830581752947735.0,8.36570781658884e+16,1532187066228700.0,29258.077941254836,77369.49576760182,6896.164550438964,4.233985894855767e+16,1.0355675407475403e+17,9266725026119076.0,380573578725708.94,774538347933478.6,82177613795393.28,17511855.24841256,381617549.75809425,5263969.547616367,2622903.112843429,5776929.077910563,584785.1039019099,2.5375356870233302e+17,5.858690300393636e+18,1.3286980110156194e+17,175351.12008721835,3719340.609274089,52291.37187729521,423960887390125.9,1021259962345405.0,92614459774339.89,26263.86480433244,57140.05890893594,5853.527590092056,2540905681716193.0,5.70352908246579e+16,1306388085764886.2,3.800688252632809e+16,7.840198909893027e+16,8221325064438478.0,21732339.22546314,994186688.8623545,8071968.8988907095,439854689.5276462,84105541908.28857,392466067.9331455,1.3480801152241405e-05,0.0006870827943200532,1.0543867080182458e-05,59708.65153591465,213035.0284615357,38901.94759848181,2.337779245620334e+48,7.905041655341073e+48,1.2744569296365237e+48,124564196768851.95,496205384742905.56,73073355641435.4,1130550.760085643,29419981.74918177,928861.6146746738,0.0003506001865723508,0.0008047676429633857,0.0001609393723718113,0.009779095769854688,8.549992341217516,0.00972867685502962
3402316.4976198026,422822181.218986,2917436.8305598786,1232707047607970.5,2386947912834062.0,468705487293563.0,10355773728695.596,19518127487537.273,3842682887385.8633,6.80173768433548e+24,1.0540667757845306e+25,2.07918334359458e+24,2502827426815003.0,5.561957126844525e+16,1231231366396658.2,877.185860951043,35125.703565920674,532.2967703467862,1332216011690790.0,4.260036711304939e+16,1061052302180059.6,11575757549975.88,294628623575585.25,8621433173885.089,3187957.4066037503,284932748.44665426,2500350.6477034194,82406.12639977256,2446503.6650956413,45632.177198158184,1.7034491254227808e+17,3.8468194789986217e+18,9.726476767247861e+16,31796.72803489085,2815400.638421095,24796.298644181326,13128099933964.234,421334610139831.9,10514933418362.955,821.9197609461953,24226.856141433265,454.5215357647579,1678635458118540.2,3.798904439937874e+16,960188647445486.6,1160591806112907.5,2.9783308440359664e+16,869614328036516.1,4424235.064557969,699681866.6714814,3711795.928435745,565708510.1252558,63394813618.189835,385429459.2809343,5.166187735971202e-06,0.0009291546321493159,4.270261020548494e-06,249124.93025928547,656743.8631998961,130042.85637766293,2.1042610352555523e+47,3.743567698848049e+47,7.371383121146153e+46,137484626022092.48,322676564564593.56,58030672981578.234,1417235.7256435177,15458620.1398813,731644.0706340481,0.5291453546177243,1.2969602647952037,0.2593918447234347,0.009913606487497346,11.657293021322724,0.009885951886434359
10945329.255054751,354651759.998665,3981038.531864139,3968546935807384.5,1.2068344639038688e+16,2103831373330949.5,27969956044048.594,71090736223749.11,11984311190426.145,7.800272732110055e+25,1.8196488047530126e+26,3.3614061959060336e+25,8765687707414595.0,4.852894038124724e+16,2291716043053023.0,2116.094228930428,39438.31926817248,979.2346661450916,1.7460546761045918e+16,4.7697672746871336e+16,4031223282586866.5,119800232501557.4,329385127849347.1,28072763645612.65,7622746.699365095,251316168.35032165,2997112.1682369616,149589.28875055793,2886784.486544509,70079.56277787694,6.196571833308321e+17,3.5198690031905157e+18,1.6449004406922387e+17,75098.04861821585,2445840.648305474,29513.382095954606,172018439189494.9,466558257837048.8,39687042744815.305,1473.7291061094036,28341.735732118836,692.5019867714278,6104760805482552.0,3.4226455372175468e+16,1613280910995118.0,1.2160193822438544e+16,3.367382681259005e+16,2851333780164123.5,15716150.257430919,542359948.5079632,5599028.120916426,557750311.8659734,50714367100.08925,349447724.4759449,0.00010846019117095015,0.001037936521223543,3.89830439401821e-05,489724.14992622635,1103488.2450417394,181789.92295682267,2.738883491770406e+49,5.497678371041253e+49,1.0063224512870488e+49,302902202586918.0,1709911033111214.0,209116443910370.38,1168926.7073854732,27368654.014935322,976795.9241449088,326.64611277498256,364.9035046092162,72.90476643537806,0.009971843145307684,6.476623846085506,0.009902734666640791
