Max Rank,Sum Ranks,Top 5 Avg,Max Rank2,Sum Ranks2,Top 5 Avg2,Max Rank3,Sum Ranks3,Top 5 Avg3,Max Rank4,Sum Ranks4,Top 5 Avg4,Max Rank5,Sum Ranks5,Top 5 Avg5,Max Rank6,Sum Ranks6,Top 5 Avg6,Max Rank7,Sum Ranks7,Top 5 Avg7,Max Rank8,Sum Ranks8,Top 5 Avg8,Max Rank9,Sum Ranks9,Top 5 Avg9,Max Rank10,Sum Ranks10,Top 5 Avg10,Max Rank11,Sum Ranks11,Top 5 Avg11,Max Rank12,Sum Ranks12,Top 5 Avg12,Max Rank13,Sum Ranks13,Top 5 Avg13,Max Rank14,Sum Ranks14,Top 5 Avg14,Max Rank15,Sum Ranks15,Top 5 Avg15,Max Rank16,Sum Ranks16,Top 5 Avg16,Max Rank17,Sum Ranks17,Top 5 Avg17,Max Rank18,Sum Ranks18,Top 5 Avg18,Max Rank19,Sum Ranks19,Top 5 Avg19,Max Rank20,Sum Ranks20,Top 5 Avg20,Max Rank21,Sum Ranks21,Top 5 Avg21,Max Rank22,Sum Ranks22,Top 5 Avg22,Max Rank23,Sum Ranks23,Top 5 Avg23,Max Rank24,Sum Ranks24,Top 5 Avg24,Max Rank25,Sum Ranks25,Top 5 Avg25,Max Rank26,Sum Ranks26,Top 5 Avg26,Max Rank27,Sum Ranks27,Top 5 Avg27,Max Rank28,Sum Ranks28,Top 5 Avg28,Max Rank29,Sum Ranks29,Top 5 Avg29
3711902.5734016923,400607058.32094246,2993710.830985534,3044506484469904.0,4116581111724630.0,823315472862520.5,13181429641904.027,23981409028859.77,4796276045425.041,2.5765400845567874e+25,3.1206206233648393e+25,6.241234714126627e+24,2358039720882910.0,6.418110305691408e+16,1374858651305789.8,644.8282858412057,28017.448122227066,409.4668989645885,3428223062968181.0,4.34119128669905e+16,1593301426956478.8,13778220714426.105,260222090320693.88,9392274051350.277,2794620.395050073,245970594.5816096,2089830.4974966818,41389.88986467053,1732954.9989564077,27156.137501521473,1.4967000286233254e+17,3.9053660266713057e+18,8.151501274906696e+16,27998.32427736257,2448495.2203052007,20899.69715270168,34387775266648.86,432645611196323.25,15948886637795.777,414.6708298157268,17277.85186485079,271.85924309266056,1493296808468576.5,3.886345345095038e+16,813503591407449.6,1373593192743480.8,2.611293088103092e+16,938431551181238.8,9264191.229872432,732824377.1973231,5032451.5848033745,415495562.9985136,67436967806.486755,357679552.678665,1.9986196370479258e-06,0.0004685344469006511,1.721470429920592e-06,359746.770078826,571336.4945819151,114267.20290125834,3.078467982798856e+47,3.898413651499492e+47,7.690137618737329e+46,167895651593221.3,272535388189541.34,54423352009124.35,595877.7285329113,9441890.442705743,508023.28961604706,0.8343152775014593,0.8373595024089362,0.16747190048178726,0.009977562783631344,7.224714335965536,0.009879828989119386,212431.4603147751,370510.88777653384,74102.09954218139,2122.0091041552487,3690.954907726802,738.1902035107312,6.638558807327898e+50,6.925505626949357e+50,1.3851011253879355e+50,59371985918437.836,366391417902334.25,22251451599974.652
5025715.581821991,353270937.75587606,3081354.013824092,59066338537902.89,59893203437170.49,11975438326136.105,281875757245.9255,295053765414.71576,58985189464.63515,3.250124894693225e+23,3.2864263046293294e+23,6.572343066128017e+22,1498327775173522.5,4.598710935049288e+16,952200137479319.6,853.4595920012886,29669.535929968915,523.0800163942667,2614171289131741.5,3.793061098507995e+16,1314270486165025.2,25257817109368.348,257517249561677.3,10491648403107.85,4921877.014374785,236519541.073312,2720872.6052529053,84720.18413638612,2099749.4911872344,45726.16789878379,1.487341711301206e+17,3.113362047023774e+18,7.635192640238083e+16,48557.875888661976,2312721.7887406964,26830.711588295362,25790690144964.402,371701225972437.0,12962025094834.809,835.8258799527921,20602.10082221515,451.0987157678892,1467370151884388.2,3.0421592972275136e+16,749751338817740.2,2560158721706140.5,2.626393814123393e+16,1063455911064084.4,5131744.867984435,583148589.2311205,4111188.619949975,334344445.59936213,52489125650.09743,298133154.4376304,4.672900169150241e-06,0.0006126880327228638,4.374321785727932e-06,10734.456248037379,10976.612180990085,2194.699332218083,4.583186163005563e+47,5.4607079902084325e+47,1.0808211824491335e+47,10265614400296.705,31419269267537.9,6158568066614.276,2734191.4075527266,16861278.971813306,1155539.2049525827,1.4522294274999778e-08,1.461985817407017e-08,2.9239716348130275e-09,0.009766100344225202,7.599026349428742,0.009711402356615504,5277.118121485829,5659.976340541096,1131.4126024667717,51.226858790259136,55.00153318524247,10.994592705703807,1.0563311831104644e+47,1.0564093291117515e+47,2.112818654512566e+46,44997687952443.19,397792986884643.9,21888442653007.023
9125922.65692086,370526043.7547194,5439258.991483692,3.2652961033799984e+16,3.2653173754098332e+16,6530634610213466.0,266459685122920.1,266464544605393.06,53292907854665.87,6.410952661483835e+26,6.410973137697281e+26,1.2821946180571453e+26,3891988665579861.5,5.182433755366357e+16,1744546211659913.5,2879.609526087727,55517.36485189949,2139.0590549922063,1.2432510037311366e+16,7.530784955092989e+16,4800513775351630.0,83282464340101.45,514052151078480.1,33769930332502.812,6150872.853695555,253631256.0310995,4199767.986592111,195626.5324801655,3862113.2451346857,141327.593315703,2.639348569172573e+17,3.57420159963383e+18,1.2410047431455754e+17,61132.41219710273,2500896.806713619,41686.836183088555,123564467405450.62,745357254538921.5,47676235494066.17,1948.138639359379,38251.36222930676,1409.7635271095476,2623200779797443.5,3.523556463682739e+16,1231523932617947.8,8379513104223226.0,5.193773043182229e+16,3400156628884940.0,13539942.431107787,594331130.8201027,8031418.355176437,287444993.6092848,41531907582.66202,247890264.06596822,9.540699751123292e-06,0.0005179270037613439,6.760662196431007e-06,1663116.108594196,1663147.3060319582,332629.43952238926,2.721118791022431e+49,2.734217815732127e+49,5.468150149218923e+48,2381951871683973.5,2407791491185931.0,481526071116860.6,1567786.1397067506,13109974.431607403,957634.835358873,43.763821096071005,43.763821096081315,8.752764219216264,0.009835934284915382,4.4063196101878805,0.009712015419201631,1379555.3933572457,1379654.995589014,275930.9828590315,13571.614352528255,13572.60538071764,2714.5209163326554,4.110031402778667e+53,4.110031402794155e+53,8.220062805588308e+52,394712475619303.94,1734625185681866.5,165594974009846.3
7765687.20857447,715453903.2228009,5255537.062255621,1.7067288541569522e+16,6.7010093085608744e+16,1.0931966568337292e+16,89319728489495.3,327736495149812.06,51677275773705.89,5.0096170777544206e+26,1.3973527123187303e+27,2.345025308772106e+26,2750782847312163.0,1.1578179320964464e+17,2451162337783368.5,2413.712623263256,59837.3040976567,1349.4390946285544,8138678494600355.0,9.094481621479806e+16,3718683446144475.0,60305897821417.15,675979650931683.2,29730047785221.555,5689762.250644582,532790929.2432189,4318579.936555935,174867.10433999062,4421979.203083233,110845.03590241261,2.4395173770652797e+17,8.662060857307467e+18,1.8897166449802394e+17,57542.11075226587,5326007.820840303,43438.55162285869,82308665754939.66,911389522430593.5,37458605256739.95,1768.4785130907435,44348.019734115456,1122.2749772442426,2449329973567527.0,8.656563689332722e+16,1898436320475452.0,5963045436285411.0,6.745558139884976e+16,2952435639849847.0,10599018.933451077,1042910313.8741325,6714281.215302939,527770386.9141571,115187523913.64027,460103610.24369335,8.466412900586846e-06,0.0012857286746542607,6.642668431621414e-06,980319.4625344872,4092300.8005034635,644589.8684200691,1.3701559616924042e+50,4.933601660293108e+50,8.561691428020105e+49,1051546483537553.4,4817027390405986.0,594463602336329.9,2279122.3590993774,63597368.95836973,1602310.1568546046,4.5752875423209405,4.673766633849033,0.9346325580311756,0.010020752990719833,16.447852575688326,0.00999954233240156,404022.5187863215,2077590.5790859351,325129.18394121865,4022.691066848629,20724.28037274703,3243.2134129785104,2.509626326572874e+53,3.852888538390751e+53,7.473833339363222e+52,250131214418262.94,1100032935667123.2,84100613858237.9
7286825.871897839,426688202.38714933,5721883.946615064,1.0181505903894258e+16,1.064693770994213e+16,2126341892417594.0,91546511895143.28,102156431032903.66,20390697865981.42,2.424219930548308e+26,2.444410177742009e+26,4.888287284214156e+25,3154566089754221.5,6.836681271742084e+16,2287893066810168.0,1590.5266878318555,48991.21705473203,1316.6160880433727,5456398993656204.0,6.882060616025347e+16,4040699319613136.0,53097831287359.69,489733498276886.75,33798571730594.55,7134346.76214498,295630863.9855611,4921653.326048857,156675.80787872488,3445343.5907006767,111503.6264686423,2.4579168630426435e+17,4.886612443665956e+18,1.820820614911884e+17,70910.25623607059,2917837.3743645567,48888.78336414725,54232666797102.97,681255258967313.2,40130687087143.2,1557.2444195764729,34168.464689914545,1110.239512887269,2429691018502685.5,4.819996291740816e+16,1804431404988382.5,5342222138653024.0,4.946590961925526e+16,3402708561434504.5,8846715.915746892,673736119.64866,7197128.548288474,514177504.78711194,61112358298.02083,428163925.5720281,0.009311588986575532,0.009928380314937795,0.0018713386631118913,427614.1003740829,578758.1192790592,114173.22810319206,3.8406229696322246e+49,3.9753822971719336e+49,7.913112288720758e+48,1954849856662405.8,2650146142359218.0,519585686555517.7,3933301.5433543674,24247953.207618706,2030863.782751146,35.50998145196305,47.95452251857704,9.590780376954717,0.009931712243084508,5.784159364759693,0.00990973718622005,389455.1592387793,732338.6579028018,144190.0171908281,3844.871249493068,7253.994940627766,1428.1936065809216,5.876842271667643e+52,5.877177638055283e+52,1.1754355242774028e+52,119826772598759.7,1109680936414186.9,85524401269636.78
4930018.072985985,595328507.775936,3197652.4947431744,1.3451548527865204e+16,3.065545679310152e+16,6093452763056262.0,62620254853667.33,138587724128158.94,27540977266066.84,4.007673037160719e+26,7.106878120510274e+26,1.4185006332706858e+26,1094007962351708.4,8.629478987647232e+16,914291602819957.8,7791.908941403143,51482.16897885298,2086.2464173188064,2460608791613978.0,5.652604605679293e+16,1337228622173784.5,24305078199968.457,384362822866043.0,11568060537089.531,4730441.384839368,393750418.76440793,2830425.447054279,726266.0205340808,3518851.2919956567,177767.90905602052,8.795231957015584e+16,5.770263845685881e+18,6.847153368888527e+16,48697.08472129214,3952366.2141393493,28757.730851677217,25330506192341.51,568414722545093.8,13606678786831.139,7476.477363294671,35585.24243207787,1826.8525157264532,890089445108644.4,5.78707501268723e+16,688248774061363.6,2360998577982989.5,3.820914204635037e+16,1136239365888090.5,5138014.874862207,987341906.1416318,4109444.5763900355,414443471.13738024,102935662417.85501,370275302.42415893,6.947506455228621e-05,0.0012396647650253696,3.4733457599641855e-05,691965.0745461963,1540956.4682964478,300802.63440431363,1.1038834395419947e+50,1.952108965797738e+50,3.773484689780038e+49,748368458410479.4,1794030525674831.0,340327919805351.4,1477665.251523809,22664287.14027819,1167001.5647936168,0.010675063786007584,0.011741995875470923,0.002347935958070209,0.010041280450586151,14.56702252393023,0.009997579844420101,284597.57158838277,683353.7771301905,133093.04131392506,2846.8779474084618,6839.83470174959,1332.132107083016,1.6061443172785023e+53,1.9546399176816954e+53,3.9092727740435137e+52,377777972761680.94,827174255255953.0,89387861823785.9
3271585.4898326015,311871738.19611764,2555233.370546908,197933147389026.78,262100051027563.03,52409791130640.43,796422535898.9828,1187707626485.7544,237480265515.79932,2.51234068011344e+24,3.0575521782832205e+24,6.114390160262079e+23,1693370591070298.2,3.994775182881629e+16,1144658257969745.0,245.31548906622024,22681.440345466348,215.3221917115618,1157233713121812.5,2.760953498328367e+16,922219508578518.2,10703271617283.223,195274118669991.56,6737234956594.819,3062173.895274397,222823515.05746377,2102233.2503166115,23236.603839206524,1640184.3946419794,17823.99503276136,1.4274136643442251e+17,2.889349612638804e+18,8.762451085215514e+16,30258.942268781793,2200136.098545507,20787.21337476481,11435231738758.951,272701442467817.8,9117735260862.512,229.61303901720396,16214.33385181486,176.34162264965883,1410502118436738.8,2.8519568331904584e+16,865895368010665.1,1083160100222352.5,1.977004688422693e+16,681392029400997.2,4241883.861122183,468017660.9179927,3584487.280984372,431137172.7317786,48522218037.93248,336810448.6019294,5.589337158148492e-06,0.000540001424264584,3.475244924350976e-06,15594.0359304922,25777.17288609083,5152.626362016134,5.650824334454176e+47,1.0246159206543135e+48,1.9804897340925345e+47,29153338746692.855,61483702777583.09,11919805038323.334,542775.9361474835,15662263.436514635,502245.45510241884,1.7621163170549414e-07,1.8186128399003835e-07,3.6372256797978866e-08,0.009842860380928563,6.833033775746003,0.009795711732995127,6380.013064024161,13443.004092502573,2686.7228822617585,62.74563813332749,132.49725046329752,26.480906277255166,6.311855692952864e+48,6.581389401551767e+48,1.3162778754212175e+48,10187038474188.824,206590055824629.3,7609791991137.44
2607897.6720115384,276263718.9053671,2136933.436063246,1.4108650580283842e+16,3.092719970210639e+16,5496991207117191.0,60329872553752.18,138887496495401.6,23787653744702.523,2.2856276315802397e+26,4.593704827857265e+26,8.602250241037633e+25,619445462007323.0,4.393167394128514e+16,573067036150107.4,10988.781564144803,30407.198011776214,2770.3046116359733,977140487671391.9,2.872432782848089e+16,701189747960276.2,6801130267683.201,196017584473359.4,4633619386707.929,1811101.2872527484,193919136.89285296,1745980.8637664996,742931.1385882862,2114531.0564844785,189941.2321663612,5.385699990658123e+16,3.135569257966815e+18,4.947511157473128e+16,18151.588247464973,1904262.673647214,17286.73570356972,9914470857092.121,282651929654323.0,6992577736423.55,7538.086094368149,21049.943569832445,1920.0619153509026,527411333502208.0,3.076465552656173e+16,486207587921134.7,670298984410931.6,1.9922577051886572e+16,464946421777624.9,3967413.127849693,444685451.0788739,3630685.4290281,342620767.0203437,48754987334.62724,293936110.7448258,3.236490119171439e-05,0.00033775289180271303,2.015417821171877e-05,870894.359370872,2307480.7795603657,395370.32475245267,9.302858427578342e+48,3.374129303367856e+49,6.145067635656507e+48,355746914696458.2,1448882510596612.0,219966654941655.97,960162.2873064491,21148533.819529064,780100.0397476554,0.028587814476939675,0.04965839321504274,0.009873249105862734,0.0098146949132414,3.855915563953303,0.009797352164169212,380698.7878373796,1096520.395097809,181690.0572594755,3724.0234570731936,10738.673125243666,1778.4816256890535,5.224093670243095e+52,6.748533608607251e+52,1.3444885432674077e+52,405791990317349.9,659198525880063.8,98021557844893.9
5369958.42703732,429352751.7451357,3433654.216403714,3191163577048502.0,5120043736706556.0,983443179315066.0,14696795563200.205,26400670206636.125,4993816370588.717,2.773250285863142e+25,6.07084162989878e+25,1.1659930043951579e+25,2487904301763563.0,7.073494744844235e+16,1506921607824821.8,925.9254990475539,28858.571913618733,640.8157790270245,4294340889985872.0,4.835016897750743e+16,1945997816938526.0,28836453508109.137,320429092323074.5,12847423602834.527,3639095.9514171076,292082882.8045393,2686266.2806945345,92262.04743614244,1998898.4206721464,46549.33039347887,1.701506085500363e+17,4.885093849689508e+18,1.1509455402205006e+17,36059.2138558078,2871973.4576106463,26544.597599076027,42551930091714.09,476225930723474.56,19269059873113.57,917.0748199987828,19690.986533836345,462.21106593087154,1685994890849844.5,4.802384850822419e+16,1133720811628697.5,2910174959282588.5,3.253505350122536e+16,1297435433346873.8,7924070.673893571,704284856.5047963,5256367.82574276,529433148.54826194,75276920785.1979,421991660.5995964,2.5283900107095334e-06,0.00039639920528378864,2.1702745378269117e-06,367205.4061399469,517598.57748000784,99596.64790311668,6.754684729888605e+49,1.0782549481294787e+50,2.1198695396799547e+49,357891494761570.44,1055964531091131.6,164798359685691.06,2724716.9038713826,31385122.0914162,1411508.2371820875,0.005564795050712436,0.0058484704320184,0.0011696633546202414,0.00984487953076133,6.576597921772537,0.00981527750985205,172355.88326875522,277074.94140776515,52090.286192089196,1691.1520370046758,2722.0079571221977,511.60393304877533,7.690917148039999e+50,1.1170236576791536e+51,2.2309308638602096e+50,73448361020613.7,442534470180670.9,34217291910044.344
16265128.724877924,668327611.7748307,8611618.977089673,1234154766306438.5,5500464574373459.0,802704135095964.6,44223482431865.23,71730506137852.25,12534789831337.879,5.3220015749171496e+25,1.4285432503741607e+26,2.5046497879847605e+25,1.1742352354733938e+16,1.1725312396656598e+17,5123479327979856.0,8797.131604132224,77441.25224281962,3427.9934834089813,4.059051360167989e+16,1.4395916545447136e+17,1.3018765635001552e+16,264554412436849.0,984753675176105.5,96127728348548.42,11598644.282192662,454272519.14895254,7032705.223352363,578040.7648171548,5293360.320973083,253969.95880579884,1.1807752170640443e+18,8.415712306826821e+18,4.075416277187058e+17,114193.04273502,4449315.527438719,69731.01982058352,404260295409348.75,1420913738585481.2,129226633129322.83,5756.9838272250345,52230.31997708821,2524.3223548867995,1.162517890385348e+16,8.246359336604422e+16,4023179399009060.0,2.656308224761174e+16,9.979046604644867e+16,9686795948869938.0,24854417.21657096,1080471747.814381,11636496.183290923,992286202.7720636,97534238281.5892,525624296.6917845,6.56581590193402e-06,0.0011699521393103054,5.16062741776374e-06,219131.75017308883,458753.7557811863,71655.60772492927,5.2307562501538645e+51,5.3056549048328154e+51,1.059627230780072e+51,3270037783082597.0,7420883184678634.0,1381896573634061.5,8745232.540826742,42154975.04913306,2761909.1205781405,362181.34578819334,362182.01720410376,72436.40344068084,0.009941191439888863,12.970023022734427,0.009879501244569886,1051869.9607448762,1228144.5180538276,233702.26629648893,10465.812229001798,12193.86371961615,2322.3437143685032,2.832370076342062e+51,4.6106786705105026e+51,9.120387187929234e+50,2204304506176944.5,3968835648402427.0,552541086165541.3
