Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Top 5 Avg,0.719,39179.63145058128,0.9823452309474883,0.202013590687391,0.8991122479247515,2.170584543036474,0.33951871195323813
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
Max Rank,0.812,1.2372737428779536e-08,4.820316299687533,0.06552389730945318,-0.05155665461609882,3.603718253651114,0.32400166440360856
