Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
Top 5 Avg,0.72,2.25046,-1.0,-5.0,0.0,6.0,0.524604
