Max Rank,Sum Ranks,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25,Top 5 Avg,Top 5 Avg2,Top 5 Avg3,Top 5 Avg4,Top 5 Avg5,Top 5 Avg6,Top 5 Avg7,Top 5 Avg8,Top 5 Avg9,Top 5 Avg10,Top 5 Avg11,Top 5 Avg12,Top 5 Avg13,Top 5 Avg14,Top 5 Avg15,Top 5 Avg16,Top 5 Avg17,Top 5 Avg18,Top 5 Avg19,Top 5 Avg20,Top 5 Avg21,Top 5 Avg22,Top 5 Avg23,Top 5 Avg24,Top 5 Avg25
10414637.716045965,1521879986.6752136,3.928481906161116e+16,1.0630090486082182e+17,83110670242175.73,291150056570917.6,1.583961995478072e+27,2.609093074026358e+27,2.9028210578023424e+17,6.104605378363788e+17,1627.6478521829554,68386.04216691779,2.1166225012844524e+16,1.5086195389877274e+17,108464678756487.06,934154560162146.2,5522210.978842425,1022471019.0262816,117092.40209079914,4607341.072006762,1.5926230429893202e+19,3.774919465963754e+19,53369.00337923367,10091726.96796433,204559430736004.3,1489604246059564.2,1175.4368485247867,45692.04181293816,1.5391788703618054e+17,3.688784311655256e+17,1.1223084598179922e+16,9.459932882445638e+16,21235190.897192076,2488838785.0535355,14778995797.332186,568738043089.9011,3.689620732803331e-06,0.0012371855057211347,1149307.9248364212,5875276.261540633,6.017968906754788e+50,1.0472729446710308e+51,360625424673431.8,2698761069455133.0,1644142.4490470893,69579597.20174856,0.38284116141366487,0.5618659062631408,0.009919663906588484,35.666393852957924,5712380.631084001,1.7216991408988756e+16,41486700940247.51,4.619811000434674e+26,6.176800775972585e+16,995.4166239341772,8353473179244600.0,39870254594579.7,3388906.177225977,63999.03218737846,3.3869444897520343e+18,33441.369503420756,82070948008010.94,643.1141276226526,3.275819355632192e+16,4064345897238989.0,11499507.183062794,4271411418.136499,3.200077318644898e-06,842700.9566447887,1.8161221779870672e+50,233819688995285.8,1240453.59476249,0.11228768681028659,0.009908984879580866
3334856.0334201735,1037634207.9303062,1.0079246721258867e+17,2.0587520552528176e+17,241718667433701.78,530935923596338.25,3.385852822071585e+27,5.248620477583578e+27,1439610973695053.2,1.9830469832864173e+17,2410.756601345778,41341.95032230255,1321202030455331.0,6.375647718632731e+16,11121264763638.934,419884392352459.25,3235001.6837195596,690916693.590809,192693.66239729943,2735174.6336398358,8.785257816577587e+16,1.3179405615088589e+19,32644.435621463777,6894767.188213168,13300398373213.047,637957052624066.8,1973.9925306563912,27440.1276709079,886521279585491.9,1.3136398756815886e+17,1102096254707733.6,4.196390936642839e+16,5349920.040891946,1755205326.1827278,544396835.6819322,419477303463.1709,7.155019576977039e-06,0.0007728970638484755,3000461.6209469642,9595105.070058381,4.085578510044907e+50,1.0037537900610624e+51,802972004685151.8,3167868029474509.0,1477707.2955080655,54208684.424486205,0.4523916691397044,0.5494681863424994,0.010031390901215295,24.340178119905218,2593382.636047546,3.3225799134185996e+16,82707457333132.25,9.152514399445328e+26,993435603225594.8,784.4660242888182,1024499070546535.0,7001791976342.278,2117312.5500820326,58323.911094528856,7.011002832099974e+16,21399.333676482685,10372632777396.121,594.7583722891176,704022756809254.6,691833200112655.5,4212597.069136011,456491621.91348666,3.257794941042477e-06,1400179.3077032142,1.4564912693596277e+50,425996934752310.5,1223537.82689348,0.10972111530067094,0.010016104803532221
4563498.401043264,1907555919.5749645,7.43941707362424e+16,3.287827635526404e+17,151482626741768.62,776386569828337.0,2.328621522244197e+27,9.334422353101715e+27,1.455880876575167e+17,5.519248542645208e+17,1145.4157721277938,65669.62977685344,3606940316306734.0,1.2203111071852021e+17,20825517656324.426,813016854403957.0,3601383.449114335,1256375684.2146099,64240.89791555353,4294666.580819875,1.0598237796628863e+19,3.744320621189119e+19,36160.58776147304,12534873.619353017,36596803903896.83,1219642603213058.8,651.8021751003204,42974.84757694066,1.0020899199139274e+17,3.67563629450413e+17,2052539873148756.2,8.13542476829729e+16,8019462.414083549,3261400202.5283055,42998557464.63589,829813596432.9255,6.768858681802577e-06,0.0015358289569800316,2376724.8505885783,12971045.877607604,1.8483924915280076e+51,3.7242382334433095e+51,491447723705338.9,4444207264684877.5,1086396.9893350338,86066557.64622779,0.02420270826289303,0.07700506686714614,0.010026213391287892,51.27882848949561,3395405.123535735,3.918042917891426e+16,95068929192284.73,1.2223458016954722e+27,3.3796185247242796e+16,544.0898683612382,1739658152082571.0,12194004377364.926,2643531.3018314345,31315.727316002936,2.409707005995437e+18,26582.76430165949,17554937990417.934,316.750302192854,2.2878282600336216e+16,1210689664539713.5,4965046.084021401,11017385333.368086,5.16028211712678e-06,1491289.6844463912,5.631099961894288e+50,373479762769128.0,980857.2875065024,0.015178594658079391,0.009996612610493751
4971341.901844575,1492186597.4061828,6.581020753550331e+16,4.249596366866398e+17,200434049303626.28,979242143903373.0,2.2476736815398884e+27,1.0109918056649417e+28,3713833817395852.5,2.883062271840584e+17,1010.8312938544906,72465.54413643025,5014587475791284.0,1.285369337651908e+17,24714240305035.637,863278442014530.8,3976857.5109161586,1005735716.5098355,85966.46033767775,4960236.054942254,2.4772112857725018e+17,1.9509698492365455e+19,39962.95957219292,9997032.278680013,50418208764647.81,1281510315538018.8,872.3167140910438,49501.50960195513,2478230257973571.5,1.937710313575815e+17,2458074631049292.5,8.65860485388727e+16,10141770.523958642,2440847673.7277117,539810272.0788478,482684607322.496,7.083493365476966e-06,0.0011639563122625262,2376934.818258482,20105772.926904943,3.6905036449013756e+50,1.4958095387193713e+51,815910034369079.0,4830530029532799.0,2900588.746145349,78744302.81907384,2.487323183913506,4.341109148547043,0.01003038838452493,29.16812314618401,4442842.807119404,4.842804851722536e+16,109642294584952.62,1.3691262681692352e+27,2475075116628905.0,770.7066526924439,2859438418115299.0,19878120668938.734,3634611.9416154614,60853.62082052211,1.8180965290713654e+17,36451.171593007646,28703332578291.65,613.2350921526153,1820044851632159.5,1981526619380094.0,6751891.536706254,510710387.9812846,6.220366406865707e-06,1796717.9522419788,1.914240929439179e+50,368383684669615.6,1567264.2717068444,0.8647484397471151,0.01002375843326648
3259987.237577961,1599627321.4455984,5.54706810994776e+16,2.353398910720194e+17,50270248638897.34,391754323421836.8,2.0700626925788203e+27,6.574379616709268e+27,5.3137137688741704e+16,4.511272690236086e+17,806.3134876951348,53844.63418270925,1517591253419882.5,9.624487022690614e+16,10627516789171.186,615559824876447.4,2370629.994493459,1044470583.0370438,58038.79995832596,3484485.022978577,1.3583230363246892e+18,2.5455115778316968e+19,23949.53858241048,10372689.20464848,15306578633930.936,957521920448651.0,586.3430742492307,34740.01965646887,1.2863504924116824e+16,2.5088457508912192e+17,1051958056757530.4,6.187065617338915e+16,6813457.061230017,2748433908.9304347,13895508912.336288,729860530516.5068,4.79145973606309e-06,0.0012441810312153298,1486426.7022786227,10056913.269076308,4.99323545848045e+50,2.4445558646826283e+51,600128237616029.9,2805634880394433.0,1943017.4181799672,60893446.508044325,1.1612073985778815,1.1636686975985675,0.010003875825152305,44.66400921387622,2521193.326027202,2.632204284998633e+16,35569264964958.375,8.723225116149192e+26,2.5692900441157896e+16,491.63789066201525,1096898300065197.0,6496350326683.707,2006247.5953064463,34100.94440458612,8.014297137856627e+17,20049.609483506705,11042120777154.578,344.25652897045245,7611853132752408.0,646474735573857.8,4842787.993467949,7634118332.7604265,3.355075839972412e-06,908903.5408734411,3.7218413104097236e+50,261820871333681.44,1014556.1876536375,0.23271104204594906,0.009964230442691775
4198833.577662403,1003172357.693906,5.362971003944883e+16,2.7212833323827552e+17,294984294697938.7,977407924498375.4,1.7579456698341194e+27,6.438546005744003e+27,5022193740564288.0,2.0814544584841914e+17,1571.4297000399267,44781.601270104205,1817188567557667.2,7.86918079537899e+16,17630203412905.25,539506330855500.75,4060046.6869404386,704377227.7595526,151440.61406108574,3149096.1904544933,5.036757432040017e+17,1.493495239638742e+19,40736.713510484755,6934856.000897901,18232866707971.145,777178626235448.5,1519.4881696070609,31168.989099077346,4958643277588306.0,1.4672420562232806e+17,1757123802788582.0,5.46317511957283e+16,5395250.901433062,1589481856.5267015,1896649572.181797,361334411270.14923,4.439376602564308e-06,0.0007364093042732766,1800304.7332816618,12825955.416927472,8.041952790772989e+51,9.621741198592406e+51,2309604841353900.0,7509564154850307.0,2694183.6529183295,85973013.85846725,370.99368892651233,371.7678574266426,0.009968593041718125,20.645532504303002,3601111.064276514,3.265590596457604e+16,133370323744944.17,8.521162010911545e+26,2688798400032274.0,886.7891672041021,1612954093399076.8,13175615859089.242,3183039.208020268,79663.35349510997,2.3726922859606765e+17,31592.06942555511,16029803102482.379,799.4610517241731,2328940865504277.0,1325902028689795.5,4530391.870626401,1224978494.2472684,4.027346008801918e-06,1354703.2478333998,1.7975945221682115e+51,853935148711268.2,1714550.8454625658,74.35311513171575,0.009889972156552894
6394465.328479193,1442664889.9086733,4.641148632923823e+16,2.5788240142320938e+17,249314094822867.66,852896611657471.5,1.6935010760664445e+27,6.348173599188547e+27,8907213775862170.0,3.134962701858651e+17,623.8331836869138,56675.54848623765,4482029044455960.0,1.076105561555174e+17,40889186837122.53,717314017471056.0,5825864.849558775,955897745.9891554,60407.12134824354,3746740.7999730054,8.104391371411283e+17,2.0881035933363896e+19,58336.18768336765,9535932.997078978,44879943886698.64,1076418025933012.5,609.7744325436631,37522.19522412708,8115177888788823.0,2.08102905736315e+17,4083483782217593.5,7.170835516994066e+16,7381801.847652083,2487154325.7379208,1713025213.9345176,565689919057.2598,7.35535090972869e-06,0.0010429090326641423,1500306.824055222,11592216.84205587,4.245029252866536e+50,1.0024417953707028e+51,2266309434382355.0,5764300253348949.0,2238483.451047344,65817235.5328721,0.1345753029842599,0.22940593985693605,0.010027877819765368,32.984658428818776,4180372.6255999347,3.5046478778476948e+16,122664321492461.88,9.898315525531338e+26,3950727972961789.5,441.8326171522813,2300864543527594.5,18859464795326.914,3673215.5684123216,38231.16154707194,3.195235530047272e+17,36906.681095322754,23115701198138.168,385.4192155626103,3192878035927123.5,1877712870734449.5,5639422.612298552,1129837970.3309815,3.917050309717765e-06,1310914.384809477,1.5452761560430063e+50,784903653350503.8,1409683.035383448,0.0429335846220824,0.010017541653784347
2982266.2068533944,767417289.2906895,5.582969404615659e+16,1.2046839628702798e+17,115344421887527.6,263371639596830.84,2.0710245538212843e+27,3.5758362599736083e+27,1223793177489165.2,1.4084180396816176e+17,418.5786914774716,30433.479384772378,1743152951840166.2,4.977637915328046e+16,8893911728539.732,323143096935121.94,2015484.0767687182,529908414.3673197,21673.607013547786,2061966.9961543835,9.003665903428853e+16,1.0018339581568408e+19,19844.02276931026,5188791.609466236,17303625852404.041,489010034682679.06,215.1457714818238,20281.56949751584,886481581543188.2,9.788000072602515e+16,895965308961877.0,3.291411974680477e+16,5802173.4654805325,1206278022.7349324,502127449.1198468,279259599260.46844,2.3156158537855097e-06,0.0006202030730646692,1754314.1890697374,4581534.065644274,4.871324774037604e+50,8.433182742165698e+50,378985728847562.4,1412111242616733.5,1147612.166405746,38673257.298347294,0.0044325699222927,0.006247453348832932,0.009840675249054591,17.48566530110915,2104832.6605446762,2.334012986788297e+16,49819309618076.94,7.031985974839501e+26,894016657270234.4,262.62385855340574,822996649906162.8,4646588831190.445,1620292.2410691609,14829.596018983613,6.190600996613463e+16,16002.202964215996,8168075280867.432,147.05407092633462,610807944727737.2,469688340482584.8,4233717.053050701,442286143.3008572,1.9435508662339625e-06,850589.1624572038,1.4934150525474794e+50,200891214425183.44,849141.4134189293,0.001246945044481554,0.009833222657956473
63677994.85951033,1892787666.4154246,2.917721478549895e+16,1.1817535329729331e+17,60396124301767.66,301322304220346.3,5.608894089827246e+26,2.431668801289465e+27,8.43911156546616e+19,8.742572582759519e+19,679.2336169501597,69999.78219043059,7.516072860401883e+17,9.005333884388887e+17,4054887029327823.0,5085119767754894.0,36784919.369009,1253648433.7713227,61012.639675726285,4677235.3114605965,5.219991651531912e+21,5.503049440611458e+21,343539.87807886413,12390148.467953574,7019373151785935.0,8483640536107383.0,611.7233785641795,46510.284632748815,4.875028479879669e+19,5.14127825421224e+19,4.341815956225701e+17,5.392742753736982e+17,110232320.71412487,3080100732.6966906,765575060997.9489,1672729102863.7778,4.719883964208521e-06,0.001653887178841157,1624665.029213062,6336037.596920203,3.9869999826381136e+51,4.609518519615662e+51,281859517565647.8,2142041819485059.8,871432.2357850227,58017428.777134426,0.011596434511834359,0.013177773437125272,0.009936062248187475,53.04855109316992,18068466.045356438,1.709263785771479e+16,44691101647595.86,3.608611445887904e+26,1.7416627144493674e+19,460.5023075886585,1.5676138908393555e+17,865069752864652.6,12103937.806468526,35415.66955103395,1.0960175810135664e+21,114445.04481752795,1464855403671563.2,354.7705710907748,1.0237128290554638e+19,9.254967397299373e+16,28438846.8819307,187495165922.82486,3.864596049800229e-06,869882.0067061394,8.77019878190428e+50,199261202839467.06,826488.3284593429,0.002617788681205224,0.009907569883367353
17058373.281817894,1746480301.8841288,4.8873306845041816e+16,1.8607401786934106e+17,98100670142662.17,411259491308212.9,1.1425408195929238e+27,4.3222184587193266e+27,5.680808218517391e+17,9.592080800834742e+17,1203.1168431285666,64667.86367440834,1.076311492722267e+17,2.2363069690727245e+17,290988099021838.56,1065357653654182.6,7934603.903593094,1154816729.3115344,87984.04985690689,4157417.635698954,1.5466866931877323e+19,4.148271018976677e+19,79350.18508226554,11541300.100638395,1072532576094118.6,2235877777982409.0,896.3463905061207,41737.24710884076,1.5412562949220406e+17,4.133343101489354e+17,2.9201335437584508e+16,1.0644056797973877e+17,62874258.780425735,3030661364.0820155,12079663967.925003,793195149424.0266,6.109945504672712e-06,0.0015213145869909122,2090603.7500005001,8552861.65022731,1.9245029416613506e+50,9.766644459614473e+50,357266288029926.1,1820238279708187.0,918429.2913153326,71922701.6600484,0.026199541548790978,0.02817513542267186,0.010015803560053037,53.957687420939074,7627859.133843365,2.605323516640258e+16,61187406852570.766,6.420629167024948e+26,1.2743961902590482e+17,816.0277534735111,2.4878151213993424e+16,84197301628615.92,4282825.708308229,49368.72255292869,3.995519127712087e+18,43016.50398780689,248275743825606.2,502.6279204716464,3.9726614565973384e+16,8424483555837627.0,18851918.68949787,6021621664.225976,3.921360515016451e-06,1184281.0900617372,1.2158465916138803e+50,228270157598844.06,816933.583001027,0.005634255561282853,0.009981032676733642
