Max Rank,Sum Ranks,Top 5 Avg,Max Rank2,Sum Ranks2,Max Rank3,Sum Ranks3,Max Rank4,Sum Ranks4,Max Rank5,Sum Ranks5,Max Rank6,Sum Ranks6,Max Rank7,Sum Ranks7,Max Rank8,Sum Ranks8,Max Rank9,Sum Ranks9,Max Rank10,Sum Ranks10,Max Rank11,Sum Ranks11,Max Rank12,Sum Ranks12,Max Rank13,Sum Ranks13,Max Rank14,Sum Ranks14,Max Rank15,Sum Ranks15,Max Rank16,Sum Ranks16,Max Rank17,Sum Ranks17,Max Rank18,Sum Ranks18,Max Rank19,Sum Ranks19,Max Rank20,Sum Ranks20,Max Rank21,Sum Ranks21,Max Rank22,Sum Ranks22,Max Rank23,Sum Ranks23,Max Rank24,Sum Ranks24,Max Rank25,Sum Ranks25,Max Rank26,Sum Ranks26,Max Rank27,Sum Ranks27,Max Rank28,Sum Ranks28,Max Rank29,Sum Ranks29,Top 5 Avg2,Top 5 Avg3,Top 5 Avg4,Top 5 Avg5,Top 5 Avg6,Top 5 Avg7,Top 5 Avg8,Top 5 Avg9,Top 5 Avg10,Top 5 Avg11,Top 5 Avg12,Top 5 Avg13,Top 5 Avg14,Top 5 Avg15,Top 5 Avg16,Top 5 Avg17,Top 5 Avg18,Top 5 Avg19,Top 5 Avg20,Top 5 Avg21,Top 5 Avg22,Top 5 Avg23,Top 5 Avg24,Top 5 Avg25,Top 5 Avg26,Top 5 Avg27,Top 5 Avg28,Top 5 Avg29
4764672.464184016,1311010132.8740516,3722569.8593658963,3.7229006502278024e+16,1.5647906431847462e+17,76364806225581.08,347150053347973.3,8.543610616566022e+26,3.657036058509769e+27,3.053419220886463e+17,6.998779068110996e+17,1182.077504238572,46155.69216545401,2390077273107485.5,9.103655220801845e+16,22702103690953.387,621151407843181.5,4588875.083226451,912418413.0263256,91653.52558625868,3275776.4000781225,1.7979262547268454e+19,4.8347142933725364e+19,45257.15111909331,8826818.201258985,23571809293898.37,883200373833832.4,924.4042194716296,31979.392225452528,1.5935744375408102e+17,4.4561980351996224e+17,2301892969137611.0,6.39942200111516e+16,5053590.358133132,2019502948.7326906,60420790062.106255,658814264208.5367,1.5646734140054455e-05,0.0009189192609819269,1622263.686103875,7499370.161092682,2.8423781687937923e+50,1.7779195830246017e+51,368537360813302.56,2640463064202762.0,1592192.1538157545,62773092.65156325,1.7213464310799753,1.7317427793631945,0.009862682643744904,31.73487554457665,345824.5127651451,1979259.686278617,3327.6163850501603,19176.49220856626,7.299328236749964e+53,1.5713372835277006e+54,25213366723568.82,460051798552498.5,2.0140026548830828e+16,42578739294228.53,4.7214853072823834e+26,8.283665771952389e+16,770.9079719862696,1804005295619435.5,14704673008776.475,3369832.077256527,55404.423322227005,5.529292978844268e+18,33238.73139999644,17495079257987.328,553.5516671700949,4.918282004722224e+16,1506533364923543.5,4696872.488954072,22411306449.65173,7.047225571486176e-06,938572.4020106237,2.0616251125736985e+50,270001398968869.16,1181966.5928744436,0.3462527326894284,0.009818238187354675,244299.9317536258,2368.8417919581943,2.8555895919709502e+53,20802354630836.844
5423307.279445068,1284671156.342676,3935750.197158725,5.1145737176728e+16,1.693110495504424e+17,166369384205531.56,440564046489832.6,1.2063947611815649e+27,3.847706504717126e+27,2356786738350248.5,2.6513876082272323e+17,1202.6832175532713,53301.790595711245,5000954514566507.0,1.0225768024061813e+17,29412261847281.87,663085885808644.0,3170161.4807434306,847183922.2859476,69873.11057852073,3481449.0043063513,1.414963971300033e+17,1.7689704230957674e+19,31896.257667749454,8398779.247673891,50316595779184.5,1017497650606520.2,703.0212033669022,34653.523571841695,1416686898168345.0,1.752322623009961e+17,2923277725589416.5,6.664970642567153e+16,9277843.424046788,2183238257.92296,603502327.349221,481099887607.2385,5.98375194593164e-06,0.0008633718859997065,2168350.2909022006,7918490.500481177,1.2260733448562144e+50,6.980442652757759e+50,566859045620258.0,2550584154710657.5,2056845.0251258241,58392687.88002934,0.052886335894197396,0.06065494253600151,0.009957017228168044,26.382774499871843,711407.2108333715,2228055.1529924152,7053.317100362943,22077.130654440884,1.455388319806325e+54,2.8451570469824132e+54,110225378081533.3,724851273655886.6,2.693386094538435e+16,68628947592555.875,6.481781073081723e+26,1913450715842496.8,587.9744691494541,2621032338669062.5,16123770960598.574,2817598.86785816,37927.93298871683,1.2085576864282749e+17,28207.406238288026,26285332597248.164,380.9863192728583,1210409153518876.2,1607927102893713.5,6440440.327775402,516051820.710787,3.2655141038836742e-06,1134172.030729137,7.640898465934484e+49,295948041023773.94,1265412.2375250116,0.012028357018890557,0.009927375880851819,322359.10488598305,3195.65756464972,5.609825379048225e+53,40418706266164.33
9835652.743004737,2124080864.8214936,4832306.583948934,5.188875680018569e+16,1.5034772817274995e+17,109214055801459.05,336990179007431.4,1.2329895385093348e+29,1.2647405110352145e+29,2.6789735610578797e+17,1.0296200661700329e+18,4265.0192723708005,70916.92682865677,1.7592196428997932e+16,1.2979300921246048e+17,96740064880976.61,825108978099865.8,5388260.2473252155,1405711652.101929,232769.16139401772,4710731.696487689,2.909893455789148e+19,7.926441988629417e+19,54086.57687204055,13765191.468992893,176587922785906.34,1277885674485690.0,2336.5031686113516,46494.18822034063,2.6336854685526317e+17,7.37026348871881e+17,9637523320343246.0,8.386287438512784e+16,17953859.026946463,3560075233.8482056,74008618882.86328,1273121795198.2456,1.2429083039340507e-05,0.002342306968642258,1980036.8166870943,6591992.734797355,2.107274542861547e+60,2.1072745439976567e+60,750608403693710.4,2746503736904200.5,2164659.3317868304,83316141.58617447,4.776562113763667,5.372313996103916,0.009932192735412064,86.46578124234728,424803.7400370699,2032358.4195750472,4167.528087430181,20020.553772861895,1.5202632020734624e+58,1.5204849837553216e+58,759970866642798.1,1393068589286919.0,2.0729965099875456e+16,48701542339223.58,2.5098408675044e+28,1.233287674188006e+17,1402.0661998296116,4791754429131938.0,29765694218175.47,3629081.874675367,92130.43107104159,1.031825445981811e+19,35623.746347115906,47762416778182.11,922.3025397669419,9.33840450682351e+16,2997246469330315.0,7158073.701006198,36197964778.74227,7.220672193161462e-06,967182.3083600064,4.2145490871660515e+59,368990561307361.6,1210908.2254794438,1.0744360869638538,0.009865728745940227,308055.5537128983,3040.2731981321826,3.0409458925342272e+57,177182140926391.66
47290622.20730787,1880443517.0953956,11839171.796568926,4.6804621055552104e+16,1.4154377036088829e+17,143047666115736.0,466143645745042.1,1.1352427404995447e+27,2.8070772024579935e+27,1.5299790171047468e+18,1.9112997963589548e+18,975.502850069248,69138.52693996369,2.983839041320827e+17,4.1178940121132077e+17,2236402948754320.2,2960913619847539.5,36613331.32013287,1238134863.538924,69125.71072574989,4693775.5630295705,1.223599372602121e+20,1.470926414848748e+20,354445.6838597893,12063368.66204291,2888589569414414.0,3998894441835105.0,669.1909456763815,46069.88996174992,1.1845398950460595e+18,1.4237711217004424e+18,2.3101469662825626e+17,3.049994513814867e+17,61081657.093698315,3245797280.8201647,25048092830.18931,841273634115.7786,4.103137240861043e-06,0.0017732115341301765,1929695.2748536074,8038925.58910815,1.4332781410160382e+50,4.836474575124064e+50,902102979492115.6,4468532299802402.5,1539584.8087981166,88619597.48617549,9.551313640598003,10.665142370589486,0.009875642083816876,59.87244760902672,602763.8638945117,3116685.817087703,5898.112803912788,30571.731885790276,1.2887760798569165e+54,1.796076233338455e+54,563346701831320.5,1210515538001545.0,2.1203080582437492e+16,65175430682081.94,4.532621505104488e+26,3.162927166705601e+17,570.9214742770165,6.108859738659081e+16,454651615212916.0,9065470.710490318,41120.31383235239,2.499385345290813e+19,88119.32667773923,591636837229956.6,405.73609847049806,2.4174375241914547e+17,4.695015360715585e+16,17212177.645574983,9467706781.635736,3.449230931117631e-06,1084997.2584614183,6.744921622326006e+49,544379107899656.4,1146293.687739654,2.132252742506501,0.009852693942161353,396400.69519492675,3893.924114470539,3.5284810482972335e+53,130709143990937.55
4315103.776100807,950780464.2221155,2322031.766127278,2.2808700747809256e+16,1.4066774606740792e+17,38324374388293.375,293776172811316.9,6.952267451334341e+26,2.9438056095386685e+27,1680807078321406.5,1.8643009061956554e+17,1071.8003410434508,35250.45800429625,2286346670471915.5,5.720407646545826e+16,18620120598519.45,359870477614715.1,3528783.621904133,615179181.0388286,47803.07849867317,2241166.3596139504,1.3802095532483832e+17,1.2399955416053715e+19,35142.4190144968,6051646.956606375,22769248929683.035,564125395105205.9,476.0608738817406,22151.41080226066,1374521864899537.2,1.2181722457485018e+17,1869716953145151.8,3.650211185327698e+16,5631677.104103181,1680164046.226976,559471688.3839068,381842562352.4056,6.2385870606322465e-06,0.0007049499329892842,1073644.6077725599,8213059.700713193,3.185712220849734e+50,1.2480690377015938e+51,215296883516836.56,1570415956217499.8,778730.6353674263,42709355.86234268,0.01512855454677197,0.029895176571960662,0.00992107289132113,21.55577806985555,236131.01886793636,2055149.7197045342,2320.8765820458198,20209.92156633537,4.83340227148829e+53,1.1236071016004496e+54,59627501568164.23,334205964128949.6,1.653384169213234e+16,28789179628199.664,4.044046440932788e+26,892778924555748.1,563.7323415311689,994774217556084.0,6404449392266.1455,1745499.0281142462,35851.31982282304,6.604604526805992e+16,17361.288589764452,9929071871040.48,358.82466878997667,654239005256767.8,642262451726232.9,4199521.831920802,458021729.8359187,4.781618490760587e-06,818471.8706147273,1.9695928842998193e+50,150120052157590.25,652205.4839637649,0.005763255445777762,0.009867704912818017,207181.70458301564,2038.46423685725,2.0896113368926832e+53,23351839035641.773
2342106.928571541,1276764036.1036143,2063149.354813144,6.3411346912176744e+16,4.8883252389396045e+17,78002091906224.89,737759890090057.9,2.2873202668963242e+27,1.2670539573759296e+28,4.8711197147948104e+16,3.1331704331290074e+17,373.1616937820242,42201.39064691691,1103752624794606.5,7.326623913756163e+16,5485464864862.815,498441832575203.56,1739567.1629721408,882607536.3833567,28921.84039512331,2931982.1794722993,3.081172586424689e+18,2.1571632326336406e+19,17180.500428805706,8677142.492312584,10648011758322.281,721589729074019.1,290.71630843854916,28942.172762582446,2.802614373544249e+16,2.093603965081081e+17,560466799971536.75,5.060569804162726e+16,4579258.812676546,2020421741.0850582,23269221927.80902,588824628509.46,4.6824300865556565e-06,0.0009747423541502425,1757951.8598296428,26120736.114660148,1.2813273304135746e+51,5.6752242253007064e+51,442704691278378.9,4070029569343733.0,1132578.134507843,96694155.04468177,0.03150815628735481,0.05142772218897117,0.009910542877475304,35.42505560778375,232972.1132737535,4518471.850425174,2273.453332156579,44260.36689869802,5.231834003354672e+54,1.3503499668958817e+55,10894779429881.342,324513657973202.8,4.049841728483262e+16,54095097379042.06,1.5375627850416556e+27,1.3830472644478624e+16,293.5407548515228,666515139603598.8,4310416896284.961,1611490.5587427362,20990.751494723376,8.565546452503808e+17,15978.407108192749,6562691610378.814,209.5784020777553,7918867006050467.0,437386309984921.56,3302397.6415960407,6171461997.440075,3.3172570612614507e-06,1221357.647578221,8.246479174291922e+50,262234110300364.84,956520.6660293782,0.01011813962441942,0.009902913381373463,207150.29708432755,2029.1834647285334,2.5261389127163134e+54,7399881734144.338
3379849.5770658045,1270824650.478295,2983208.4987086067,2.352002986765017e+16,8.726775538459514e+16,35231861575992.914,140327489537909.33,6.081880307617462e+26,2.3417094949373898e+27,4003976345842704.5,2.496644184460468e+17,445.25476956284524,48314.04553496458,1449631485321448.8,8.765289463532768e+16,11423383163591.895,571223431869683.8,2934812.5498930416,826170846.024426,32188.398362880573,3215807.950885202,1.937370128676196e+17,1.624998173333617e+19,29184.868553129938,8174804.658699352,14462285255182.271,868896652519537.4,323.87581912146794,31904.933898956842,1921991225389277.2,1.6065982010943706e+17,1148728431300435.8,5.76161334750275e+16,4935322.808296902,2302830965.770092,1276629874.9413698,457469298238.48395,2.7198717049992014e-06,0.0008783081841768581,909573.6466274937,3609763.579983167,2.2292614668636107e+50,7.74623413326141e+50,442599112551548.44,1316250886381851.8,1598042.6439374785,63136609.15319137,0.006775016029370088,0.0067958984838688745,0.00991182967872742,27.26421264626196,177865.59265169367,708046.0752097636,1764.5451809956078,6987.063048695244,3.6989268076185076e+53,1.0471516486935769e+54,15217428692038.816,444880279270508.3,1.587337511160769e+16,22856604341754.234,4.417984359581226e+26,2233525669332660.8,319.53508932294164,1097098629670137.8,8943539090683.537,2588025.97029025,23939.048680061383,1.4325923226350554e+17,25744.79891129023,10925919616259.06,239.8253869159683,1419016518363153.5,898932982551341.0,3831038.9292168124,694552600.0449762,1.897466795833725e-06,578334.3647415745,1.1626023635853815e+50,165691148486439.7,837811.5503154718,0.001359057735624066,0.009897385504639427,107440.56473075351,1059.723811545567,2.087578034705801e+53,10947157799848.396
8583253.883586917,1135496333.4000862,5141568.049243889,7.023454597646382e+16,2.7150698423137904e+17,158270733881662.16,548653293099346.94,2.6643356840083285e+27,8.399297601389443e+27,7949831700369871.0,2.306185643510846e+17,1433.8496136643132,47266.31293100793,1.3264095121206424e+16,9.800570073877046e+16,73672247230109.9,642851025024236.8,4764444.5011562705,788377567.2244818,79542.26277783919,3204967.978867267,4.410138944309532e+17,1.6171318280159545e+19,47673.63294458204,7788561.127965003,132722209692431.86,973129556011791.0,795.9099194736992,31797.712100696102,4412840682992419.5,1.596763572308766e+17,7362714178114957.0,6.477359275425467e+16,15462924.84091914,1800846876.9732084,583612117.6450013,431496991381.74585,3.2608702007054047e-06,0.0008618719953819955,1934776.391101578,10593069.604092767,7.738983004419462e+50,2.53204171925568e+51,492112386523029.0,2014784576348872.8,787058.2562767338,53169460.098960705,0.0007831610418981371,0.001560787854786401,0.00986481303870723,24.987869559802306,442404.03808099765,2248098.7531848005,4359.941038405473,22144.70069325195,7.098684637080127e+54,1.615865581333245e+55,221443683389576.12,832246946860971.0,4.176005824023836e+16,83902586643972.16,1.467048936544444e+27,3439231542777465.5,833.8509027679968,5135429576964806.0,30203664359401.96,3459967.808624451,49577.53376840851,2.072035569461675e+17,34552.868230605796,51366472957085.25,495.69424304863844,2070714457441387.5,3021045980022149.5,8687466.566775879,506440547.36650145,3.1009580379907573e-06,1263033.1810809164,4.638344335144855e+50,259239385622561.06,639091.9845097563,0.0002903790646183955,0.009853680340152606,261228.7917507126,2572.616708490078,3.206493326730401e+54,85749253645604.61
2247222.7176469374,1424578290.7525263,2091384.1254151366,1.1200939252816549e+17,5.990153407199497e+17,78313694887417.62,817527006098814.1,3.8379069572646513e+27,1.4286286164646677e+28,6.30392673919505e+16,3.6330975319401024e+17,444.9478795552347,48420.64963242006,1054954512294327.8,8.258590067487632e+16,5050009942708.484,543238630524940.1,1981750.0579268308,948784742.9435625,29138.737096207395,3154196.055181568,4.463731005313062e+18,2.4247379330883326e+19,20046.559625063943,9496552.7180904,10461830561534.564,828183431729407.8,298.1672082409993,31688.983452483742,4.261275120594617e+16,2.4033336432136493e+17,499230675171859.5,5.417885550976799e+16,4845170.715708943,2397451177.0870495,28692604787.18372,659289228702.0405,5.954929682960529e-06,0.0011168604653338872,3268996.39679397,31553988.912115213,5.527363666314459e+50,3.81870603040692e+51,255680280673979.84,3199434431001765.0,799553.8602662745,87046874.79871176,1.107255141951162,1.130934477078897,0.010165973628014663,39.418670288819854,230697.5795680912,4756419.611471233,2285.5867765037283,47429.460427227015,1.4729529812620414e+55,1.8927021195918262e+55,14546935963866.697,378506617440403.75,4.555480986900255e+16,49681457761127.734,1.371561042565599e+27,1.6896984093347206e+16,339.79320212141124,702875883962528.9,4394254469264.1445,1705837.8287276675,22233.708436698187,1.1367498515904242e+18,17211.1233533602,7078555031159.237,225.88710761696728,1.0939601044753094e+16,436124985714394.3,3894345.7521756673,7358856387.860646,4.434705846286052e-06,1762869.0068296734,3.5488937235448794e+50,159910731991165.03,633044.112817746,0.2261177942118704,0.010105516203413711,191156.37970897852,1901.8238063998065,3.4180457575674735e+54,9915506819245.312
3351633.6545979744,1437869142.7094555,2728537.6988507523,1.0233160980130544e+17,3.51743518935322e+17,127859341029885.12,713756341266729.8,3.5823647772924574e+27,9.683001743922912e+27,8.513746725999214e+16,3.848199272849372e+17,676.1399160191613,48686.18940619004,2264126844213085.5,8.7947548618756e+16,11233448154633.77,582316757198588.9,2280650.1807656595,971912855.8914961,47525.101176216536,3280521.0406843666,2.9773853506203356e+18,2.3866581297842237e+19,22875.59820180482,9596504.703100985,22701563527482.57,870146846700421.8,476.69087007559756,32522.43049369975,2.7371820503949012e+16,2.3334526474185587e+17,1120361224864175.5,5.886006572216015e+16,6773283.0813234,2398699564.60208,22628282564.15571,645462401337.7866,4.161668501780724e-06,0.0010877913534845767,2923141.2811179888,14523893.63678267,9.39703049008888e+50,4.106291901785905e+51,511125858675504.44,3674791540291449.5,1122303.0620165844,94694227.1648091,0.7148442660392285,0.789582445632431,0.010005380533362656,38.799551859405625,537784.393968808,3298298.361424405,5327.796098705254,32550.718820732447,1.2833337397585638e+55,1.5935608740735667e+55,45005435144133.67,461443532707742.4,4.293592943107755e+16,86330036191000.38,1.2870202716274948e+27,1.8852963475477236e+16,519.6313349541954,1219074118477580.2,7670380478032.002,2009933.2654115465,32682.540348492814,7.503203582676137e+17,19957.358027402668,12202962969625.268,327.8951799068919,6983967761529693.0,767263600402345.4,4707481.462906763,5663883864.06492,2.9009769541295387e-06,1541892.3336521792,5.393374339334502e+50,276791436389108.0,849041.2380313675,0.15781981820728314,0.009929067654824233,361187.75499236817,3565.4671373323936,3.0324599037298748e+54,23974774843442.61
