Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
Top 5 Avg,0.784,128893063793.59703,-0.5412168292347914,-0.9171105439838367,0.6753614940845791,-0.8357527142294998,0.4548758483777103
