Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Top 5 Avg,0.602,256928000.0,1.0,0.0,1.0,1.0,0.352795
Top 5 Avg,0.631,1047112.9410655542,-1.0361338547271144,0.37424309570598435,0.6055838810997898,-0.014333259514577534,0.49952341737717393
Top 5 Avg,0.631,1047112.9410655542,-1.0361338547271144,0.37424309570598435,0.6055838810997898,-0.014333259514577534,0.49952341737717393
Top 5 Avg,0.631,1047112.9410655542,-1.0361338547271144,0.37424309570598435,0.6055838810997898,-0.014333259514577534,0.49952341737717393
Top 5 Avg,0.631,1047112.9410655542,-1.0361338547271144,0.37424309570598435,0.6055838810997898,-0.014333259514577534,0.49952341737717393
Top 5 Avg,0.631,1047112.9410655542,-1.0361338547271144,0.37424309570598435,0.6055838810997898,-0.014333259514577534,0.49952341737717393
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
Max Rank,0.741,39562.05522899456,1.2423659465435497,-0.4572439447578027,0.08630153090957826,-1.323670260662289,0.34166423677508534
