Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.201,3649067.764682653,0.46767115316298113,-1.784333805750094,0.02482898633791919,0.39346014134562557,0.4695913162638273
Sum Ranks,0.212,1371069.6673323435,1.5505980075969612,-0.6251245467232462,0.3690488821220459,0.8636053881827825,0.3598745351506276
Sum Ranks,0.212,1371069.6673323435,1.5505980075969612,-0.6251245467232462,0.3690488821220459,0.8636053881827825,0.3598745351506276
Sum Ranks,0.212,1371069.6673323435,1.5505980075969612,-0.6251245467232462,0.3690488821220459,0.8636053881827825,0.3598745351506276
Sum Ranks,0.212,1371069.6673323435,1.5505980075969612,-0.6251245467232462,0.3690488821220459,0.8636053881827825,0.3598745351506276
Sum Ranks,0.212,1371069.6673323435,1.5505980075969612,-0.6251245467232462,0.3690488821220459,0.8636053881827825,0.3598745351506276
Sum Ranks,0.212,1371069.6673323435,1.5505980075969612,-0.6251245467232462,0.3690488821220459,0.8636053881827825,0.3598745351506276
Sum Ranks,0.212,1371069.6673323435,1.5505980075969612,-0.6251245467232462,0.3690488821220459,0.8636053881827825,0.3598745351506276
