Rank Type,Distinction,Cutoff Value,a,b,c,d,Mean Placement of Host
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.141,72349200000.0,1.0,0.0,1.0,1.0,0.344124
Sum Ranks,0.163,20348440.443017527,2.3359595513458977,-1.8662012127376242,0.4863544094905734,2.183948170369923,0.3697203157114543
Sum Ranks,0.163,20348440.443017527,2.3359595513458977,-1.8662012127376242,0.4863544094905734,2.183948170369923,0.3697203157114543
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
Sum Ranks,0.18,87183206.94820495,4.145218326078565,-2.6555164320616225,0.005096570954427726,0.32089953602260124,0.3806437539199015
